CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,TearGas,
Burlington,Battery Park,,VT,US,2020-09-03,several hundred,300,,300,,,general protesters,"against racism, against police violence",1,encampment; march,,,,,1,1,https://www.wcax.com/2020/09/09/burlington-city-council-holds-emergency-meeting-to-hear-from-protesters/,https://vtdigger.org/2020/09/10/protesters-say-they-wont-give-in-can-burlington-remove-these-cops/,,,,
Gulfport,Harrison County Courthouse,,MS,US,2020-09-03,count video,10,,15,,,general protesters,"for removal of Confederate statue, against racism",1,protest,,,,,1,1,https://www.wlox.com/2020/09/03/group-protests-removal-confederate-statue-harrison-county-courthouse/,https://twitter.com/HughKeeton/status/1301660604709601285,,,,
Gulfport,Harrison County Courthouse,,MS,US,2020-09-03,count video,5,,10,,,Southern Defense Force,against removal of Confederate statue,2,counter-protest,,,,,1,1,https://www.wlox.com/2020/09/03/group-protests-removal-confederate-statue-harrison-county-courthouse/,https://twitter.com/HughKeeton/status/1301660604709601285,,,,
Little Rock,Arkansas State Capitol,,AR,US,2020-09-03,,,,,,,Conduit for Action,"against COVID-related mandates, against Governor Hutchinson",2,rally,,,,,1,1,https://conduitnews.com/2020/08/lawsuit-against-hutchinson-administrations-covid-19-edicts/,,,,,
New York,Times Square,,NY,US,2020-09-03,,,,,,,general protesters,"against racism, against police violence",1,march,,several,,,1,1,https://www.pix11.com/news/local-news/manhattan/video-shows-car-driving-into-daniel-prude-protesters-in-times-square,https://gothamist.com/news/video-pro-trump-counterprotesters-received-nypd-escort-driving-through-black-lives-matter-march,,Car drove into crowd of marchers. No one injured. Conjecture about whether driver came from nearby pro-Trump protest.,,
New York,Duffy Square,,NY,US,2020-09-03,,,,,,,general protesters,for President Trump,2,counter-protest,,,,,0,1,https://www.pix11.com/news/local-news/manhattan/video-shows-car-driving-into-daniel-prude-protesters-in-times-square,https://gothamist.com/news/video-pro-trump-counterprotesters-received-nypd-escort-driving-through-black-lives-matter-march,,,,
Newburyport,Clipper City Rail Trail,,MA,US,2020-09-03,count: FB,14,,14,,,general protesters,"against racism, against police violence",1,march,,,,,1,1,https://www.facebook.com/events/309611397038665/,,,,,
Pawtucket,Pawtucket City Hall,,RI,US,2020-09-03,count pic,10,,,,,Black Lives Matter Rhode Island,"against racism, against police violence, against qualified immunity",1,protest,,,,,1,1,https://turnto10.com/news/local/black-lives-matter-ri-holds-rally-against-good-ole-boy-network-in-pawtucket,https://www.facebook.com/events/2750726161869329/,,,,
Philadelphia,Philadelphia City Hall,,PA,US,2020-09-03,more than 60,60,,60,,,Philadelphia Tenants Union,"for eviction moratorium during COVID-19 pandemic, for canceling rent, against racism, against police brutality",1,protest; blockade,17,,,,1,1,https://www.inquirer.com/news/philadelphia/philadelphia-eviction-protest-arrests-court-philadelphia-tenants-union-20200903.html,,,"Protesters blocked entrances to municipal court. Dozens of police officers in tactical gear and on bicycles detained and cited 17, swept the area.",,
Rochester,Public Safety Building,,NY,US,2020-09-03,,,,,,,general protesters,"against racism, against police violence",1,protest,8,,2,,1,1,https://www.rochesterfirst.com/news/local-news/protest-underway-outside-public-safety-building-in-downtown-rochester/,https://twitter.com/zdroberts/status/1301724257349767169,,,1,
