CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,TearGas,
Philadelphia,Philadelphia City Hall,,PA,US,2020-09-07,count: FB,188,,188,,,AFSCME Local 1637; Faculty and Staff Federation of Community College of Philadelphia; Teamsters Local 623; RAFT Caucus; Campaign for a Just Philly Budget,"for hazard pay and better working conditions during COVID-19 pandemic, against layoffs",0,rally,,,,,1,1,https://www.facebook.com/events/2768801326779555/,,,Labor Day Rally with Frontline Workers,,
Portland,,,OR,US,2020-09-07,,,,,,,general protesters,"against racism, against police violence",1,protest,,,,,1,1,https://www.washingtonpost.com/nation/2020/09/07/rochester-protests-daniel-prude/,,,,,
Richfield,Roosevelt Park,,MN,US,2020-09-07,count: FB,188,,188,,,Bikers Riding Against Police Brutality - BRAPB; Justice for Brian J. Quinones - #BTMC; Justice Squad; 10K Foundation; MIRAC - Minnesota Immigrant Rights Action Committee ,"against racism, against police violence",1,vigil,,,,,1,1,https://www.facebook.com/events/3465608663501868/,,,,,
Rochester,Public Safety Building,,NY,US,2020-09-07,count pic,6,,6,,,general protesters,"against racism, against police violence, for police reform",1,protest,,,,,1,1,https://www.rochesterfirst.com/news/local-news/naked-with-spit-hoods-rochester-protesters-demonstrate-in-solidarity-with-daniel-prude/,,,Protesters sat naked with spit hoods on the heads on the pavement in front of the building.,,
Rochester,Martin Luther King Jr. Park,,NY,US,2020-09-07,count video,100,,200,,,Free the People ROC,"against racism, against police violence",1,march,,,,,0,1,https://www.rochesterfirst.com/daniel-prude/watch-live-protesters-demand-justice-for-daniel-prude-at-mlk-park-in-rochester/,,,,,
Salem,Oregon State Capitol,,OR,US,2020-09-07,more than 100,100,,100,,,Proud Boys; Patriot Prayer,for President Trump,2,rally,2,,,,1,1,https://www.washingtonpost.com/nation/2020/09/07/rochester-protests-daniel-prude/,https://twitter.com/ByMikeBaker/status/1303100022129479680,https://www.oregonlive.com/news/2020/09/trump-supporters-proud-boys-gather-for-labor-day-caravan-outside-portland.html,"Many caravaned from rally at Clackamas CC in Oregon City to this event. Some carried guns, bats, sticks, and pipes. Some assaulted counter-protesters. One speaker suggested Democratic leaders should be ""shot in the street.""",,
Salem,Oregon State Capitol,,OR,US,2020-09-07,small group,,,,,,general protesters,"against racism, against police violence",1,counter-protest,,several,,,0,1,https://www.washingtonpost.com/nation/2020/09/07/rochester-protests-daniel-prude/,https://twitter.com/ByMikeBaker/status/1303100022129479680,,"Organized across from pro-Trump protesters. Some charging and shoving. Police present, made some effort to keep sides separated.",,
San Antonio,"VFW Post 8541, 2222 Austin Highway",,TX,US,2020-09-07,count video,30,,40,,,veterans,against state-mandated closure of VFW posts during COVID-19 pandemic,2,protest,,,,,1,1,https://www.ksat.com/news/local/2020/09/07/san-antonio-area-veterans-stage-protest-urging-gov-greg-abbott-to-reopen-vfw-posts/,,,,,
San Francisco,Golden Gate Bridge,,CA,US,2020-09-07,hundreds,200,,200,,,general protesters,"against racism, against police violence",1,march,,,,,1,1,https://abc7news.com/society/blm-demonstrators-march-across-golden-gate-bridge-/6413129/,https://www.instagram.com/p/CEyDvbfhP89/?igshid=yrz69l0h0jie,,,,
Seattle,Duwamish Longhouse to University of Washington to North Seattle Police Precinct to Ballard Commons to City Hall,,WA,US,2020-09-07,count pic,60,,100,,,King County Equity Now; Decrim Seattle,"for defunding police, against racism",1,caravan; rally,,,,,1,1,https://www.thestranger.com/slog/2020/09/08/44431826/slog-am-lots-o-labor-day-protests-gender-reveal-party-sparks-big-fire-the-seattle-air-sucks,https://twitter.com/decrimseattle/status/1303064681741836288?s=21,,,,
Seattle,Chinatown International District to Seattle Police Officers Guild,,WA,US,2020-09-07,about 300,300,,300,,,general protesters,against police,1,protest,27,,,,0,1,https://abcnews.go.com/US/27-arrested-seattle-police-claim-protesters-threw-rocks/story?id=72875432,https://www.thestranger.com/slog/2020/09/08/44432799/police-rush-protesters-outside-spog-hq-while-blasting-country-music-22-arrested,https://twitter.com/richsssmith/status/1303155617209577472,Police said protesters threw rocks and Molotov cocktails at them. Protesters said police charged them with no provocation. Blast balls and pepper spray used.,1,
Seattle,Gas Works Park,,WA,US,2020-09-07,hundreds,200,,200,,,general protesters,against restrictions on religious gatherings during COVID-19 pandemic,0,prayer rally,,,,,0,1,https://www.king5.com/article/news/local/prayer-rally-takes-to-street-after-being-shut-out-of-seattles-gas-works-park/281-596f9ea3-d112-4460-a65b-a11412cb319e,https://twitter.com/calvinrjones/status/1303142697935319040?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1303142697935319040%7Ctwgr%5Eshare_3&ref_url=https%3A%2F%2Fwww.thestranger.com%2Fslog%2F2020%2F09%2F08%2F44431826%2Fslog-am-lots-o-labor-day-protests-gender-reveal-party-sparks-big-fire-the-seattle-air-sucks,,Let Us Pray Gathering,,
South Hadley,Village Commons,,MA,US,2020-09-07,,,,,,,Pioneer Valley Massachusetts for Trump 2020,"for police, Back the Blue, for President Trump",2,demonstration,,,,,1,1,https://campusreform.org/?id=15740,https://www.theblaze.com/news/college-stop-off-campus-rally,,,,
Spokane,Spokane Riverfront Park,,WA,US,2020-09-07,count: FB,67,,67,,,Human Rights Activist Coterie of Spokane,against police brutality,1,vigil,,,,,1,1,https://www.facebook.com/events/2705030069753070/,,,,,
Ann Arbor,University of Michigan,,MI,US,2020-09-08,,,,,,,University of Michigan Graduate Employees' Organization,for better workplace protections for student employees during COVID-19 pandemic,0,strike; picket,,,,,1,1,https://www.michigandaily.com/section/academics/geo-members-strike-protest-fall-reopening,https://twitter.com/geo3550/status/1303312286002614273,https://www.clickondetroit.com/all-about-ann-arbor/2020/09/12/graduate-students-strike-at-university-of-michigan-will-continue-until-demands-are-met/,Strike continued through Sept. 17.,,
Annapolis,Annapolis City Dock,,MD,US,2020-09-08,about 200,200,,200,,,newspaper staff,for continuation of local newspaper,0,rally,,,,,1,1,https://www.washingtonpost.com/local/publisher-locks-capital-gazette-staff-out-of-their-building-in-annapolis/2020/09/07/8b66c1f6-f140-11ea-b796-2dd09962649c_story.html,,,Capital Gazette,,
Burlington,Battery Park,,VT,US,2020-09-08,,,,,,,general protesters,"against racism, against police violence",1,encampment; march,,,,,1,1,https://www.wcax.com/2020/09/09/burlington-city-council-holds-emergency-meeting-to-hear-from-protesters/,,,,,
Columbus,"Bricker Hall, The Ohio State University",,OH,US,2020-09-08,more than 100,100,,100,,,students,"against racism, against police violence, for equal protection of all students on campus",1,protest,,,,,1,1,https://www.thelantern.com/2020/09/students-protest-public-safety-notice-racial-injustice/,,,,,
Highland Park,St Johns Ave and Central Ave,,IL,US,2020-09-08,a couple dozen,24,,24,,,general protesters,for President Trump,2,rally,,,,,1,1,https://patch.com/illinois/highlandpark/pro-trump-rally-highland-park-dwarfed-counter-protest,,,,,
Highland Park,St Johns Ave and Central Ave,,IL,US,2020-09-08,hundreds,200,,200,,,general protesters,against civilian militia,1,counter-protest,,,,,0,1,https://patch.com/illinois/highlandpark/pro-trump-rally-highland-park-dwarfed-counter-protest,,,Counter-protesters believed the pro-Trump rally was organized by Lake Bluff Militia and mobilized around that.,,
Jupiter,Lighthouse Park,,FL,US,2020-09-08,hundreds,200,,200,,,general protesters,for President Trump,2,rally,,,,,1,1,https://www.local10.com/news/local/2020/09/08/supporters-of-president-trump-line-streets-to-cheer-for-motorcade-in-jupiter/,https://www.wptv.com/news/election-2020/trump-environmental-visit-to-jupiter,,,,
Jupiter,Burt Reynolds Park,,FL,US,2020-09-08,dozens,24,,24,,,Pop Up Protest South Florida,"against President Trump, for Joe Biden, against environmental degredation",1,counter-protest,,,,,0,1,https://www.wptv.com/news/election-2020/trump-environmental-visit-to-jupiter,https://www.facebook.com/events/358437578892858/,,,,
Los Angeles,"LA County Sheriff's Station, 1310 W Imperial Hwy",,CA,US,2020-09-08,,,,,,,general protesters,"against racism, against police violence, ",1,protest,17,,,,1,1,https://www.dailynews.com/2020/09/09/deputies-arrest-17-and-recover-knives-poles-fireworks-at-dijon-kizzee-protest/,,,"Police claim to have recovered knives, poles, and fireworks from protesters. Fourth consecutive night of protests there after shooting of Dijon Kizzee.",,
Marquette,Marquette Branch Prison,,MI,US,2020-09-08,,,,,,,Michigan Corrections Organization,against prison director's handling of corrections officers vacancies,0,protest,,,,,1,1,https://www.uppermichiganssource.com/2020/09/08/picket-protest-in-front-of-marquette-prison/,,,,,
Missoula,Grizzly Statue,,MT,US,2020-09-08,,,,,,,general protesters,"against racism, against police violence, for police reform, for human rights",1,march,,,,,1,1,https://www.facebook.com/events/228052805307014/,,,,,
Oakland,Mosswood Park Amphitheater,,CA,US,2020-09-08,,,,,,,general protestors,antiracism; seek justice for Dijon Kizzee,1,protest,,,,,1,1,https://www.instagram.com/p/CEueTx9BWC3/,,,,,
Portland,Waterfront Park to City Hall,,OR,US,2020-09-08,,,,,,,general protesters,"against racism, against police violence",1,march,11,,,,1,1,https://www.koin.com/news/protests/night-103-portland-police-protesters-09082020/,https://www.kgw.com/article/news/local/protests/police-make-11-arrests-at-protest-in-downtown-portland/283-c1834e33-dcd0-4179-9209-8197ade6e5c0,,"Crowd-control munitions used, but no tear gas.",,
Portsmouth,Portsmouth City Hall to Commodore Theater,,VA,US,2020-09-08,count pic,10,,15,,,general protesters,"against firing of city attorney Solomon Ashby, against police chief Angela Greene, against racism",0,counter-protest,,,,,1,1,https://www.wtkr.com/news/portsmouth-community-set-to-protest-at-city-hall-after-city-manager-resigns,https://twitter.com/NSBonsu_/status/1303446331667685378?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1303446331667685378%7Ctwgr%5Eshare_3&ref_url=https%3A%2F%2Fwww.wtkr.com%2Fnews%2Fportsmouth-community-set-to-protest-at-city-hall-after-city-manager-resigns,https://www.wric.com/news/virginia-news/separate-protests-converge-in-downtown-portsmouth-following-city-leaders-firing-resignation/,,,
Portsmouth,Commodore Theater to Old Towne Public House,,VA,US,2020-09-08,count pic,10,,15,,,general protesters,for reinstatement of police chief Angela Greene,0,rally; march,,,,,1,1,https://www.wtkr.com/news/portsmouth-community-set-to-protest-at-city-hall-after-city-manager-resigns,https://twitter.com/NSBonsu_/status/1303438769161416704?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1303438769161416704%7Ctwgr%5Eshare_3&ref_url=https%3A%2F%2Fwww.wtkr.com%2Fnews%2Fportsmouth-community-set-to-protest-at-city-hall-after-city-manager-resigns,https://www.wric.com/news/virginia-news/separate-protests-converge-in-downtown-portsmouth-following-city-leaders-firing-resignation/,,,
Rochester,Public Safety Building,,NY,US,2020-09-08,count pic,200,,300,,,general protesters,"against racism, against police violence",1,protest,1,,1,,1,1,https://www.democratandchronicle.com/story/news/2020/09/09/rochester-protest-daniel-prude-death-blm-demonstrations-september-9/5755765002/,https://www.democratandchronicle.com/story/news/2020/09/09/rochester-protest-eighth-straight-night-begin/5763403002/,,,,
Saint Louis,"Euclid Ave and Maryland Ave, Central West End",,MO,US,2020-09-08,count video,75,,125,,,Occupy City Hall STL,"for resignation of mayor, for defunding police",1,march,,,,,1,1,https://www.kmov.com/news/protesters-gather-in-central-west-end-calling-for-krewson-to-resign/article_b22d5f42-f24a-11ea-8bc7-471c122548ec.html,,,,,
Southwick,Powder Mill Middle School,,MA,US,2020-09-08,estimated 60,60,,60,,,students,against delaying fall high school sports season due to COVID-19 pandemic,0,protest,,,,,1,1,https://www.masslive.com/highschoolsports/2020/09/southwick-regional-high-school-students-protest-postponement-of-fall-sports.html,,,,,
Sparks,Sparks High School,,NV,US,2020-09-08,about 50,50,,50,,,student athletes; parents ,against delaying fall high school sports season during COVID-19 pandemic,0,protest,,,,,1,1,https://www.rgj.com/story/sports/2020/09/08/high-school-football-players-protest-wcsd-meeting-bring-sports-back/5754009002/,https://mynews4.com/news/local/wcsd-lands-on-covid-19-threshold-and-responds-to-protest-over-sports-cancellations,,,,
Stony Brook,Stony Brook University,,NY,US,2020-09-08,more than a dozen vehicles,12,,12,,,graduate students,against increased student fees,0,car caravan,,,,,1,1,https://www.sbstatesman.com/2020/09/20/graduate-students-petition-and-protest-over-increased-student-fees/,,,,,
Tucson,Pima County Administration Building,,AZ,US,2020-09-08,count video,30,,40,,,general protesters,for resuming in-person schooling during COVID-19 pandemic,2,protest,,,,,1,1,https://kvoa.com/news/2020/09/09/protest-held-downtown-to-resume-in-person-learning-for-public-schools/,,,,,
Tucson,Pima County Administration Building,,AZ,US,2020-09-08,,1,,1,,,general protesters,against resuming in-person schooling during COVID-19 pandemic,1,counter-protest,,,,,0,1,https://kvoa.com/news/2020/09/09/protest-held-downtown-to-resume-in-person-learning-for-public-schools/,,,,,
Winston-Salem,Smith-Reynolds Regional Airport,,NC,US,2020-09-08,hundreds,200,,200,,,general protesters,for President Trump,2,rally,,,,,1,1,https://www.elonnewsnetwork.com/article/2020/09/donald-trump-north-carolina-rally-met-with-support-protest,https://journalnow.com/news/local/about-60-protesters-trade-barbs-and-insults-with-hundreds-of-trump-supporters-as-they-leave/article_52892164-f1f7-11ea-a694-cf7aa4ea17ae.html,,,,
Winston-Salem,Smith-Reynolds Regional Airport,,NC,US,2020-09-08,approximately 60,60,,60,,,general protesters,"against President Trump, against racism, for more effective government response to COVID-19 pandemic",1,counter-protest,,,,,0,1,https://www.elonnewsnetwork.com/article/2020/09/donald-trump-north-carolina-rally-met-with-support-protest,https://journalnow.com/news/local/about-60-protesters-trade-barbs-and-insults-with-hundreds-of-trump-supporters-as-they-leave/article_52892164-f1f7-11ea-a694-cf7aa4ea17ae.html,,,,
Ann Arbor,University of Michigan,,MI,US,2020-09-09,,,,,,,University of Michigan Graduate Employees' Organization,for better workplace protections for student employees during COVID-19 pandemic,0,strike; picket,,,,,1,1,https://www.michigandaily.com/section/academics/grad-student-union-deal-university,,,,,
Arlington,Arlington Town Hall,,MA,US,2020-09-09,count video,25,,50,,,general protesters,"for police, Blue Lives Matter",2,rally,,,,,1,1,https://whdh.com/news/dueling-blue-lives-matter-black-lives-matter-protests-take-over-arlington-street/,,,,,
Arlington,Arlington Town Hall,,MA,US,2020-09-09,count video,25,,50,,,general protesters,"against racism, against police brutality",1,counter-protest,,,,,0,1,https://whdh.com/news/dueling-blue-lives-matter-black-lives-matter-protests-take-over-arlington-street/,,,,,
Boston,Massachusetts State House,,MA,US,2020-09-09,count: FB,168,,168,,,Mass Action Against Police Brutality,"against racism, against police brutality, for appointment of special prosecutor to investigate past cases of police brutality",1,rally; march,,,,,1,1,https://www.dotnews.com/2020/families-rally-outside-probes-police-shootings,https://www.wbur.org/news/2020/09/09/protest-reopening-brutality-cases,https://www.facebook.com/events/2160207587444289/,Mass 2 Kenosha Justice 4 Jacob Blake! Justice 4 All!,,
Buffalo,Martin Luther King Jr. Park,,NY,US,2020-09-09,count: FB,65,,65,,,general protesters,"against racism, against police violence",1,vigil,,,,,1,1,https://www.facebook.com/events/372194167116998/,,,,,
Burlington,Battery Park,,VT,US,2020-09-09,,,,,,,general protesters,"against racism, against police violence, for police reform",1,occupation,,,,,1,1,https://vtdigger.org/2020/09/10/protesters-say-they-wont-give-in-can-burlington-remove-these-cops/,,,,,
Grand Rapids,Rosa Parks Circle,,MI,US,2020-09-09,count: FB,425,,425,,,general protesters,"against human trafficking, against slavery",0,march,,,,,1,1,https://www.facebook.com/events/295868058518263/,,,Fight Against Human Trafficking March,,
Hartford,Connecticut State Capitol Building,,CT,US,2020-09-09,over a thousand,1000,,1000,,,high school football players; coaches; parents,against postponing high school football season due to COVID-19 pandemic,0,rally,,,,,1,1,https://www.gametimect.com/maloney-football-player-tests-positive-for-covid-attended-capitol-rally-sources/,,,,,
New York,"Jay St and Sand St, Brooklyn",,NY,US,2020-09-09,count pic,7,,7,,,Transportation Alternatives,for bike lanes on three East River bridges,0,rally,,,,,1,1,https://www.brooklynpaper.com/bike-advocates-cycle-lanes-manhattan/,,,,,
Pittsburgh,Pittsburgh City-County Building,,PA,US,2020-09-09,count pic,50,,100,,,TransYOUniting; PGH LGBTQ+ Coalition,"against racism, against police brutality, for police reform, for dropping charges against protestersfor abolishing the Wilkinsburg Police Department",1,march,,,,,1,1,https://www.pghcitypaper.com/pittsburgh/photos-fje-wednesdays-protest-marches-peacefully-through-downtown-pittsburgh/Content?oid=17969058,,,F.J.E. Wednesdays,,
Portland,Elizabeth Caruthers Park to ICE building,,OR,US,2020-09-09,about 150,150,,150,,,general protesters,"against racism, against police violence, for abolition of ICE",1,march,,,,,1,1,https://www.oregonlive.com/portland/2020/09/portland-protests-return-to-ice-building-wednesday-after-top-dhs-official-criticizes-city.html,,,Protesters played music and danced. Heavy police presence.,,
Quitobaquito Springs,Organ Pipe Cactus National Monument,,AZ,US,2020-09-09,,,,,,,Hia-Ced O'odham people,"against border wall, for protection of native peoples' land",1,protest,2,0,0,0,1,1,https://news.azpm.org/p/news-articles/2020/9/10/179988-indigenous-activists-arrested-in-demonstration-against-border-wall-construction-near-quitobaquito-springs/,,,,,
Rochester,Martin Luther King Jr. Memorial Park to Public Safety Building back to MLK Park,,NY,US,2020-09-09,hundreds,200,,200,,,general protesters,"against racism, against police violence",1,march,,,,,1,1,https://www.democratandchronicle.com/story/news/2020/09/09/rochester-protest-eighth-straight-night-begin/5763403002/,,,"Protesters pulled down some barricades near Public Safety Building, and there was a heavy police presence, but no sharp confrontations occurred.",,
Ann Arbor,University of Michigan,,MI,US,2020-09-10,,,,,,,University of Michigan Graduate Employees' Organization,for better workplace protections for student employees during COVID-19 pandemic,0,strike; picket,,,,,1,1,https://www.michigandaily.com/section/campus-life/grad-students-strike-undergrads-weigh-options,,,,,
Kansas City,Arrowhead Stadium,,MO,US,2020-09-10,,106,,106,,,football players,"against racism, against police brutality",1,demonstration,,,,,1,1,https://www.si.com/nfl/2020/09/11/texans-chiefs-national-anthem-moment-of-unity,,,"Houston Texans stayed in locker room for national anthem. Both teams locked arms for ""moment of unity"" while BLM messages were displayed.",,
Madison,1125 Williamson St,,WI,US,2020-09-10,count: FB,118,,188,,,"Allies for Black Lives - Madison; LINK, Madison, WI; Black Umbrella Global","against racism, against police violence, for defunding police, for halting construction of new jail",1,rally; march,,,,,1,1,https://www.facebook.com/events/604408446902384/,,,,,
Milwaukee,"outside office of Sen. Ron Johnson, 517 E Wisconsin Ave",,WI,US,2020-09-10,count: FB,35,,35,,,Milwaukee Area Service and Hospitality Workers Organization,for extension of unemployment benefits during COVID-19 pandemic,0,protest,,,,,1,1,https://www.facebook.com/events/348643906178681/,,,,,
Orlando,University of Central Florida,,FL,US,2020-09-10,hundreds,200,,200,,,students,"for mask mandate during COVID-19 pandemic, against racism",1,protest,,,,,1,1,https://www.orlandosentinel.com/news/education/os-ne-ucf-no-masks-class-20200910-sievcem3yrhw3pcs6vrajdmlme-story.html,https://www.orlandoweekly.com/Blogs/archives/2020/09/13/conservative-gun-rights-activist-breaks-ucf-covid-19-policy-student-protesters-assaulted,,,,
Rochester,Rochester City Hall,,NY,US,2020-09-10,count pic,17,,17,,,general protesters,"against racism, against police violence",1,protest,,,,,1,1,https://spectrumlocalnews.com/nys/rochester/news/2020/09/10/hooded-naked-protesters-sit-outside-rochester-city-hall,,,"Protesters knelt naked with white hoods over their heads on steps in front of City Hall. Same tactic as preceding Monday, larger group.",,
Palo Alto,Stanford Hospital Fountain,,CA,US,2020-09-10,,,,,,,healthcare workers,antiracism; against police brutality,1,protest,,,,,1,1,https://sf.funcheap.com/healthcare-workers-blm-peaceful-march/,,,,,
Saint Paul,Keg and Case Market,,MN,US,2020-09-10,dozens,24,,24,,,general protesters,against cultural appropriation,0,protest,,,,,1,1,https://unicornriot.ninja/2020/no-mas-cultural-appropriation-protest-succeeds-in-changing-restaurant-name/,,,,,
Stanardsville,Greene County District Courts,,VA,US,2020-09-10,roughly 25,25,,25,,,Women for Good,"for police, for Bob Good for Congress, for President Trump, against Black Lives Matter",2,rally,,,,,1,1,https://dailyprogress.com/community/greenenews/news/good-honors-police-in-rally-in-greene-co/article_5c93aef8-f82e-11ea-b5bb-279198e611fa.html,,,,,
Stanardsville,Greene County District Courts,,VA,US,2020-09-10,,3,,3,,,RISE,against Bob Good for Congress,1,counter-protest,,,,,0,1,https://dailyprogress.com/community/greenenews/news/good-honors-police-in-rally-in-greene-co/article_5c93aef8-f82e-11ea-b5bb-279198e611fa.html,,,,,
Stanford,Stanford University,,CA,US,2020-09-10,over 400,400,,400,,,Abolish Stanford; Black Graduate Student Association; Graduate Student Council; Sexual Violence Free Stanford; Stanford Basic Needs Coalition; Stanford Neighbor Accountability Coalition; Stanford Solidarity Network; Students for Workers' Rights,"for defunding and reforming university police, against sexual violence on campus, for hazard pay and health care for workers during COVID-19 pandemic, for better mental health support, for support for immigration for international students, for departmentalizing African American studies, against racism, against gentrification",1,reverse town hall; occupation,,,,,1,1,https://www.stanforddaily.com/2020/09/11/stanford-student-coalition-shares-demands-for-justice-equity-in-reverse-town-hall/,https://twitter.com/abolishstanford/status/1304133373737144321,,,,
Tacoma,"Tacoma Police Headquarters, 3701 S Pine St",,WA,US,2020-09-10,,,,,,,Lawyers Against Systemic Racism,"against racism, against police violence, for police reform  ",1,protest,,,,,1,1,http://lawyersagainstsystemicracism.org/event/police-accountability-protest-we-are-outraged/,,,,,
Washington,Trinity Schools,,PA,US,2020-09-10,,,,,,,general protesters,against President Trump,1,counter-protest,,,,,1,1,https://www.wpxi.com/news/top-stories/eric-trump-rally-washington-co-met-with-protests-joe-biden-supporters/3KTPIPQW4VD4DM2GGN5I24OIKE/,,,Protesting Trump rally with Eric Trump at American Legion Post 175.,,
Ann Arbor,University of Michigan,,MI,US,2020-09-11,POSTPONED,,,,,,student employees,for better working conditions for student employees of University of Michigan Dining during the COVID-19 pandemic,0,walkout,,,,,0,0,https://www.michigandaily.com/section/administration/dining-hall-workers-strike-following-graduate-students-and-resident-advisers,https://www.michigandaily.com/section/campus-life/%E2%80%98demanding-transparency-should-be-obvious%E2%80%99-%E2%80%98u%E2%80%99-community-protests-administration,,,,
Ann Arbor,University of Michigan,,MI,US,2020-09-11,,,,,,,University of Michigan Graduate Employees' Organization,for better workplace protections for student employees during COVID-19 pandemic,0,strike; picket,,,,,1,1,https://www.michigandaily.com/section/campus-life/%E2%80%98demanding-transparency-should-be-obvious%E2%80%99-%E2%80%98u%E2%80%99-community-protests-administration,,,,,
Ann Arbor,University of Michigan,,MI,US,2020-09-11,about 250; more than 250,250,,250,,,Students Demand Representation,"for better health protections for students during COVID-19 pandemic, for campus police reform, in solidarity with GEO, for racial justice",0,protest; march,,,,,0,1,https://www.michigandaily.com/section/campus-life/%E2%80%98demanding-transparency-should-be-obvious%E2%80%99-%E2%80%98u%E2%80%99-community-protests-administration,https://www.clickondetroit.com/all-about-ann-arbor/2020/09/15/undergraduates-protest-march-in-support-of-striking-university-of-michigan-students/,,,,
Baton Rouge,Louisiana State Capitol to Louisiana State Attorney General's office,,LA,US,2020-09-11,,,,,,,general protesters,"against racism, against police violence, for justice for Trayford Pellerin",1,march,,,,,1,1,https://www.theadvocate.com/acadiana/news/crime_police/article_3e9e0a8e-00f2-11eb-b9d6-1fb6d937f102.html,,,,,
Charlotte,,,NC,US,2020-09-11,dozens,24,,24,,,Charlotte Uprising,against police dismantling of jail support encampment,0,march,,,,,1,1,https://www.wbtv.com/2020/09/12/protesters-march-charlotte-second-night-after-jail-support-station-taken-down-by-deputies/,,,,,
Colorado Springs,outside El Paso County commissioner's offices,,CO,US,2020-09-11,more than 40,40,,40,,,student athletes,against postponing high school football season to spring due to COVID-19 pandemic,0,protest,,,,,1,1,https://www.9news.com/article/sports/high-school/hs-football/chsaa-football-protest/73-925222f3-255c-43c9-98ef-ffd3a0912eb0,https://gazette.com/high-school-sports/pikes-peak-region-athletes-protest-chsaa-gov-polis-to-let-them-play/article_384924e0-f498-11ea-b650-cf9fc0bffd61.html,,,,
Couer d'Alene,2nd and Sherman,,ID,US,2020-09-11,,,,,,,general protesters,"for remembering 9/11, for President Trump, for patriotism",2,march,,,,,1,1,https://www.facebook.com/events/2660036030925221/,,,9/11 Patriotic Standup March,,
Delta,,,CO,US,2020-09-11,,,,,,,student athletes,against postponing high school football season to spring due to COVID-19 pandemic,0,protest,,,,,1,1,https://www.9news.com/article/sports/high-school/hs-football/chsaa-football-protest/73-925222f3-255c-43c9-98ef-ffd3a0912eb0,,,,,
Highlands Ranch,,,CO,US,2020-09-11,,,,,,,student athletes,against postponing high school football season to spring due to COVID-19 pandemic,0,protest,,,,,1,1,https://www.9news.com/article/sports/high-school/hs-football/chsaa-football-protest/73-925222f3-255c-43c9-98ef-ffd3a0912eb0,,,,,
La Crosse,Losey Blvd and Monroe Cooley Rd,,WI,US,2020-09-11,,,,,,,La Crosse Black Student Leaders,"against racism, against police violence",1,protest,,,,,1,1,https://bree90842.wixsite.com/bls-lacrosse,,,,,
Minneapolis,"Family Justice Center, 110 S 4th St",,MN,US,2020-09-11,hundreds,200,,200,,,Twin Cities Coalition For Justice 4 Jamar,"against racism, against police violence",1,protest,,,,,1,1,https://www.facebook.com/events/242488070263193/,https://twitter.com/UR_Ninja/status/1304415153472131072,,Against dismissing charges against officers charged in killing of George Floyd,,
New York,McCarren Park,,NY,US,2020-09-11,hundreds,200,,200,,,general protesters,"against racism, against police violence, for safer streets for bicyclists",0,vigil; march,,several,,,1,1,https://www.brooklynpaper.com/sarah-pitts-blm-vigil/,,,"Combined BLM march and vigil for activist cyclist Sarah Pitts. Police aggressively tried to clear park late in event, according to protesters.",,
Oakland,Oscar Grant Plaza,,CA,US,2020-09-11,,,,,,,general protestors,antiracism; defund the police,1,protest,,,,,1,1,https://sf.funcheap.com/stand-opds-brutality-rally/,,,,,
Rochester,Martin Luther King Jr. Park,,NY,US,2020-09-11,,,,,,,general protesters,"against racism, against police violence",1,protest,,,,,1,1,https://www.democratandchronicle.com/story/news/2020/09/12/protests-rochester-ny-daniel-prude-11-straight-days-free-the-people-roc/5782445002/,,,,,
West Chester,2 N High St,,PA,US,2020-09-11,,,,,,,Party for Socialism and Liberation - PSL; Party for Socialism and Liberation - Chester County,"against racism, against police brutality, against President Trump, against capitalism, for socialism",1,rally,,,,,1,1,https://www.facebook.com/events/320548669033363/,,,,,
Albion,,,NY,US,2020-09-12,,,,,,,general protesters,"for police, Back the Blue",2,motorcycle ride,,,,,1,1,https://www.democratandchronicle.com/story/news/2020/09/12/rallies-racial-justice-rochester-monroe-county-daniel-prude-lysenko-cuomo-penfield/5779612002/,,,,,
Albuquerque,Albuquerque Civic Plaza,,NM,US,2020-09-12,,,,,,,general protesters,"for justice, for peace",0,march,,,,,1,1,https://www.facebook.com/events/2658492461034070/,,,,,
Ann Arbor,University of Michigan,,MI,US,2020-09-12,,,,,,,University of Michigan Graduate Employees' Organization,for better workplace protections for student employees during COVID-19 pandemic,0,strike; picket,,,,,1,1,https://twitter.com/FrancyLuna5/status/1304775330977243138,https://twitter.com/FrancyLuna5/status/1304797946978938882,,,,
Ann Arbor,S State St and N University Ave,,MI,US,2020-09-12,,,,,,,university students,"against racism, against police violence",1,dance protest performance,,,,,0,1,https://www.michigandaily.com/section/ann-arbor/university-students-organize-protest-dance-performance-tribute-george-floyd,,,,,
Atlanta,King Center,,GA,US,2020-09-12,,,,,,,Refuse Fascism; Refuse Fascism - ATL,"for resignation of President Trump, against fascism, against racism, against police violence",1,rally; march; car caravan,,,,,1,1,https://www.facebook.com/events/252948365840928/,,,Trump/Pence Out Now!,,
