CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro2-Anti1,EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,TearGas
Louisville,2nd and Broadway,,KY,US,2020-08-25,,,,,,,general protesters,"against racism, against police violence",1,protest,4,,,,0,1,https://www.wlky.com/article/live-updates-until-freedom-gears-up-for-march-on-lmpd-training-academy/33796805#,https://www.cbsnews.com/news/breonna-taylor-protest-64-arrested/,,,
San Francisco,City Hall,,CA,US,2020-08-25,,,,,,,local small businesses,protest lack of support for small businesses during Covid,0,protest,,,,,1,1,https://sf.funcheap.com/small-business-peaceful-protest/,,,,
San Francisco,Bayview-Hunters Point to Shipyard and City Hall,,CA,US,2020-08-25,,,,,,,Act Now to Stop War & End Racism; Bay Area OccupySF Environmental Justice Working Group; Codepink Golden Gate; Meiklejohn Civil Liberties Institute; Extinction Rebellion SF Bay,stop environmental racism; clean up radioactive waste,1,"protest, caravan",,,,,0,1,https://www.instagram.com/p/CDKUwDKhmZc/?igshid=q9ulc1j22ywf,,,,
San Francisco,Fox Plaza,,CA,US,2020-08-25,,,,,,,APWU & NALC Worker Unions,support the postal service,1,rally,,,,,0,1,https://www.indybay.org/newsitems/2020/08/22/18836055.php,,,,
San Francisco,Oracle Park,,CA,US,2020-08-25,FB: 37,37,,37,,,UNITE HERE Local 2,antiracism; against police brutality,1,protest,,,,,0,1,https://www.facebook.com/events/604507160247195,,,,
Baltimore,Fort Ave,,MD,US,2020-08-26,,,,,,,general protestors,"against President Trump, against use of national park site for political party convention",1,protest,,,,,1,1,https://twitter.com/notjessewalker/status/1298795139415126021,https://www.baltimoresun.com/67146eee-8273-4b83-a41f-08be9b274526-132.html,,,
Baltimore,Fort Ave,,MD,US,2020-08-26,,,,,,,general protestors,for President Trump,2,counter-protest,,,,,0,1,https://twitter.com/notjessewalker/status/1298795139415126021,,,,
Burlington,Battery Park,,VT,US,2020-08-26,,,,,,,general protesters,"against racism, against police violence, for police reform",1,encampment; march,,,,,1,1,https://www.wcax.com/2020/08/26/blm-protesters-say-they-have-no-plans-to-leave-battery-park/,,,,
Coolidge,Stinger Bridge and Iron fabrication facility,,AZ,US,2020-08-26,about a dozen Indigenous protesters,12,,12,,,"Akimel O'odham, Hia-Ced O’odham and Tohono O’odham communities","against border wall, for protection of native peoples' land",1,protest,,,,,1,1,https://news.azpm.org/s/79680-indigenous-activists-stage-demonstration-at-wall-contractor-subsidiary-in-coolidge/,,,,
Kenosha,Civic Center Park,,WI,US,2020-08-26,,,,,,,general protesters,"against racism, against police violence, against rioting",1,rally; march,,,,,1,1,https://www.kenoshanews.com/news/local/watch-now-update-36-arrested-overnight-peaceful-protesters-condemn-rioters/article_485f2bf1-4f22-55d0-8172-e9ff329bd25d.html,,,,
Los Angeles,Hall of Justice,,CA,US,2020-08-26,about 300,300,,300,,,general protesters,"against racism, against police violence",1,protest; march,unknown number,,,1,1,1,https://www.nbclosangeles.com/news/local/protesters-and-police-clash-in-dtla-as-protests-over-police-shootings-continue/2419449/,https://twitter.com/cogeian/status/1298864638411431938,,"Protesters sprayed graffiti on U.S. Bank Tower doors. Police in riot gear corralled protesters in Third Street Tunnel. Some skirmishing, then numerous arrests.",
Minneapolis,Father Hennepin Bluff Park,,MN,US,2020-08-26,count pic,100,,100,,,general protesters,"against racism, against police violence, remembering Lionel Lewis",1,march,,,,,1,1,https://unicornriot.ninja/2020/daughter-organizes-march-for-father-killed-after-police-interaction/,,,,
Minneapolis,,,MN,US,2020-08-26,hundreds,200,,200,,,general protesters,"against racism, against police violence",1,protest,,,,1,0,1,https://unicornriot.ninja/2020/new-unrest-in-downtown-minneapolis-mayor-calls-for-national-guard/,,,"Police used pepper spray, curfew imposed, openly carrying heavy weapons. Some looting, some buildings set on fire.",1
Oakland,"the Flight Deck, Oscar Grant Plaza",,CA,US,2020-08-26,,,,,,,general protesters,"against racism, seek justice for Jacob Blake",1,rally,,,,,1,1,https://www.instagram.com/p/CEXf7achP3r/,https://www.instagram.com/p/CETC1OtBfDL/?igshid=1gptv4hlm9izs,,,
Pittsburgh,Pittsburgh City-County Building,,PA,US,2020-08-26,more than 60,60,,70,,,Trans YOUniting; PGH LGBTQ+ Coalition,"for police reform, against racism, for affordable housing, for voting rights",1,march,,,,,1,1,https://www.pghcitypaper.com/pittsburgh/rally-held-in-downtown-pittsburgh-calls-for-police-reform-and-to-drop-charges-against-black-lives-matter-protesters/Content?oid=17887247,https://twitter.com/RyanDeto/status/1298749279390097408,,F.J.E. Wednesdays (first one),
Redwood City,Maguire Jail,,CA,US,2020-08-26,,,,,,,general protestors,release inmates from prison due to Covid 19,1,protest,,,,,1,1,https://www.instagram.com/p/CEXfG-DhDW5/,,,,
Seattle,Ballard Bridge,,WA,US,2020-08-26,more than 50,50,,60,,,Seattle Everyday Morning March,"remembering George Floyd, against racism, abolish the police, invest in Black communities, against the youth jail, recall Mayor Jenny Durkan, free all protesters",1,march,,,,,1,1,https://www.thestranger.com/slog/2020/08/26/44358901/a-youth-led-protest-shut-down-the-ballard-bridge-this-morning,,,,
Seattle,"Washington State Patrol Office, Eastlake",,WA,US,2020-08-26,40 to 50; approximately 50,40,,50,,,Every Day Marchers,"remember Summer Taylor, against racism, against police violence",1,march,12,0,0,1,0,1,https://www.thestranger.com/slog/2020/08/27/44361824/cops-pepper-spray-protesters-at-summer-taylor-vigil-other-protesters-bust-windows-on-15th-ave,https://www.seattletimes.com/seattle-news/police-clash-with-protesters-outside-washington-state-patrol-headquarters-in-seattles-eastlake-neighborhood/,,"police used pepper spray, kettling, flash-bang",1
Burlington,Battery Park,,VT,US,2020-08-27,hundreds,200,,200,,,general protesters,"against racism, against police violence, for defunding police",1,encampment; march,,,,,1,1,https://www.wcax.com/2020/08/27/blake-protests-reignite-burlington-police-excessive-force-allegations/,,,,
online,,,online,US,2020-08-27,,,,,,,NAACP,Virtual March on Washington; antiracism,1,virtual march,,,,,,1,https://sf.funcheap.com/copy-2020-virtual-march-washington-dc/,,,,
San Diego,outside home of San Diego Police Chief David Nisleit,,CA,US,2020-08-27,count video,15,,30,,,general protesters,"against racism, against police violence",1,protest,,,,,1,1,https://www.kusi.com/black-lives-matter-holds-surprise-protest-outside-san-diego-police-chief-david-nisleits-home/,,,,
San Francisco,Mission and 24th Street,,CA,US,2020-08-27,,,,,,,general protests,anti Trump/Pence,1,protest,,,,,1,1,https://sf.funcheap.com/trump-pence-rally/,,,,
Washington,Black Lives Matter Plaza,,DC,US,2020-08-27,,,,,,,general protesters,"against Trump, for defunding police",1,protest,,,,,1,1,https://twitter.com/FordFischer/status/1299133939928444929,,,,
Washington,outside home of Jeff Bezos,,DC,US,2020-08-27,more than 100 demonstrators,100,,100,,,Congress of Essential Workers,for raising minimum wage for Amazon workers from $15 to $30 per hour,0,protest,,,,,1,1,https://www.businessinsider.in/tech/news/protesters-set-up-a-guillotine-outside-jeff-bezos-mansion-and-demanded-higher-wages-for-amazon-workers-after-the-ceos-net-worth-surpassed-200-billion/amp_articleshow/77794471.cms,https://twitter.com/NicXTempore/status/1299021205161283586,,,
Alexandria,Rivergate City Park to Washington DC,,VA,US,2020-08-28,,,,,,,Vote Common Good,antiracism; against police brutality; anti-Trump,1,march,,,,,1,1,https://www.washingtonpost.com/dc-md-va/2020/08/25/march-on-washington-rally/,https://walkthewalk2020.us/,,,
Baton Rouge,Louisiana State University,,LA,US,2020-08-28,count pic,24,,48,,,college football players,"against racism, against police violence",1,protest,,,,,1,1,https://www.theadvocate.com/baton_rouge/sports/lsu/article_d1ba7132-e968-11ea-8014-038675a40096.html,,,,
