CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro2-Anti1,EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,TearGas
La Mesa,La Mesa City Hall,,CA,US,2020-08-01,,300,,300,,,general protesters,"against racism, against police violence",1,march,,,,,1,1,https://timesofsandiego.com/politics/2020/08/01/taunted-by-defenders-300-march-in-la-mesa-to-demand-justice/,,,,
La Mesa,La Mesa City Hall,,CA,US,2020-08-01,scores,40,,40,,,Defend East County,"against Black Lives Matter, for President Trump, for recall of Governor Gavin Newsom",2,counter-protest,1,,,,0,1,https://timesofsandiego.com/politics/2020/08/01/taunted-by-defenders-300-march-in-la-mesa-to-demand-justice/,,,,
Lodi,Emerson Park,,CA,US,2020-08-01,about two dozen,24,,24,,,general protestors,antiracism; seek racial justice,1,protest,0,0,0,0,1,1,https://www.instagram.com/p/CCzoyW1BrE_/,https://www.lodinews.com/news/article_947e1194-d756-11ea-9aee-e387be74e901.html,,,
Los Angeles,"outside the home of Mayor Garcetti, Windsor Square",,CA,US,2020-08-01,hundreds,200,,200,,,The People's City Council,"for ban on evictions, for canceling rents, for commandeering hotels to house homeless people",0,protest,3,,,,1,1,https://www.latimes.com/california/story/2020-08-01/arrests-protest-demanding-rent-cancellation-outside-mayor-garcettis-home,,,,
Los Gatos,Plaza Park,,CA,US,2020-08-01,,,,,,,Black Lives Matter,antiracism; against police brutality,1,protest,,,,,1,1,https://www.instagram.com/p/CDL-X80BvUt/,,,,
Milwaukee,Washington Park,,WI,US,2020-08-01,more than 100,100,,100,,,Milwaukee Autonomous Tenants Union,for eviction moratorium and other housing protections during COVID-19 pandemic,0,march,,,,,1,1,https://www.jsonline.com/story/news/2020/08/01/tenant-rights-activists-march-mayor-barretts-house-pandemic/5564552002/,,,,
Oakland,West Oakland BART,,CA,US,2020-08-01,,,,,,,general protestors,antiracism; power to the people,1,protest,,,,,1,1,https://sf.funcheap.com/west-oakland-solidarity-power-people/,,,,
San Francisco,"Washington St and Drumm St, to Sausalito, to Richmond, to Oakland",,CA,US,2020-08-01,,,,,,,Bike Ride for Change,antiracism; Black Lives Matter,1,bike ride,,,,,1,1,https://www.instagram.com/p/CDQFsEChm4m/,,,,
San Francisco,Polk and California,,CA,US,2020-08-01,,,,,,,local protestors,anti fascism; anti Trump; anti federal police deployments to Portland,1,protest,,,,,1,1,https://sf.funcheap.com/trumps-gestapo-protest-rally/,,,,
San Geronimo,intersection of Nicasio Valley Road and Sir Francis Drake Blvd,,CA,US,2020-08-01,about 30,30,,30,,,general protestors,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.instagram.com/p/CDC_rU1BqRc/,https://www.marinij.com/2020/08/01/west-marin-protesters-call-for-racial-justice/,,,
San Leandro,"1933 Davis St, Walmart Parking Lot",,CA,US,2020-08-01,,,,,,,local employees of Amazon; essentual workers,protest dangerous working conditions; antiracism,1,caravan,,,,,1,1,https://www.instagram.com/p/CDMlIOahrB5/,,,,
San Jose,City Hall,,CA,US,2020-08-01,,,,,,,general protestors,seek unity; seek racial justice,1,roller skating,,,,,1,1,https://www.instagram.com/p/CDMnPOmhcAZ/,,,,
Vallejo,Waterfront,,CA,US,2020-08-01,hundreds; several hundred,200,,300,,,general protestors,antiracism; support Black women,1,march,0,0,0,0,1,1,https://www.instagram.com/p/CCDAScGBAYL/,https://www.timesheraldonline.com/2020/08/01/hundreds-come-together-in-unity-at-black-womens-march-in-vallejo/,https://www.indybay.org/newsitems/2020/08/02/18835595.php,,
Walnut Creek,City Hall,,CA,US,2020-08-01,,,,,,,general protestors,antiracism; defund the police,1,protest,,,,,1,1,https://www.instagram.com/p/CDS8scNnTqJ/?igshid=mhtnv22npj4e,,,Every Saturday at 1:30 pm,
Williamsburg,Merchants Square,,VA,US,2020-08-01,,,,,,,general protesters,"against racism, against police brutality",1,protest,,,,,1,1,https://www.wtkr.com/sports/tribe-sprinter-felecia-hayes-hosts-protests-every-week-for-4-months-straight,,,,
Ithaca,Ithaca Commons,,NY,US,2020-08-02,,,,,,,general protesters,"against racism, against police violence, for defunding police",1,rally; march,,1,,,1,1,https://www.ithaca.com/news/ithaca/weekly-racial-justice-rally-shows-tension-amid-change-in-leadership/article_a0e7ac0a-d509-11ea-ba3b-0f48f700b425.html,,,,
Larkspur,Larkspur Ferry Terminal Parking Lot,,CA,US,2020-08-02,,,,,,,general protestors,release inmates due to Covid-19,1,protest,,,,,1,1,https://www.instagram.com/p/CDEP9bHBiS6/,,,,
Los Angeles,"outside the home of Mayor Garcetti, Windsor Square",,CA,US,2020-08-02,dozens,24,,24,,,The People's City Council,for defunding police,0,protest,,,,,1,1,https://www.latimes.com/california/story/2020-08-01/arrests-protest-demanding-rent-cancellation-outside-mayor-garcettis-home,,,,
Oakland,Frank Ogawa,,CA,US,2020-08-02,,,,,,,local Buddhists,antiracism; against police brutality,1,protest,,,,,1,1,https://sf.funcheap.com/sit-walk-listen-black-lives-matter-2/,,,,
Oakland,,,CA,US,2020-08-02,,,,,,,general protestors,antiracism; against police brutality,1,bike ride,,,,,1,1,https://www.instagram.com/p/CC9-lqElyMA/,,,,
Petaluma,St Vincent de Paul High School,,CA,US,2020-08-02,,,,,,,students and families,antiracism; oppose school's removal of two Black staff members,1,protest,,,,,1,1,https://www.petaluma360.com/article/news/almuni-of-petalumas-st-vincent-high-school-criticize-firing-of-black-staf/?sba=AAS&artslide=0,,,,
San Francisco,22nd St Caltrain St,,CA,US,2020-08-02,,,,,,,Every28 Foundation,antiracism; defund the police,1,protest,,,,,1,1,https://sf.funcheap.com/disband-sfpd-peaceful-protest-march/,,,,
Colorado Springs,6000 Pulpit Rock Drive,,CO,US,2020-08-03,a group,,,,,,general protesters,"against racism, against police violence",1,march,3,,,,1,1,https://www.kktv.com/2020/08/03/protest-underway-in-colorado-springs-1-year-after-the-death-of-devon-bailey/,https://durangoherald.com/articles/338727-three-arrested-after-protest-near-colorado-officers-house,,"Protesting fatal police shooting of Da'von Bailey one year earlier. Protesters blocked a street, banged on a car. Police called march a riot, asked locals to shelter in place.",
Oakland,La Escuelita 1050 2nd Avenue,,CA,US,2020-08-03,FB: 80,80,,80,,,OPEN; Journey 4 Justice; East Bay Democratic Socialists of America,antiracism; seek more equitable schools,1,protest,,,,,1,1,https://www.facebook.com/events/587587858571554/,,,,
El Cerrito,El Cerrito Plaza Bart Station,,CA,US,2020-08-04,,,,,,,general protestors,antiracism; Black Lives Matter,1,car caravan,,,,,1,1,https://www.instagram.com/p/CDeIeUeBXzN/,,,,
Lafayette,1212 Pleasant Hill Rd.,,CA,US,2020-08-04,,,,,,,general protestors,reform local school district,1,rally,,,,,1,1,https://www.instagram.com/p/CDbqXvyhi0b/,,,,
New York,,,NY,US,2020-08-04,,,,,,,general protesters,for eviction moratorium during COVID-19 pandemic,0,protest,,,,,1,1,https://www.brooklynpaper.com/downtown-eviction-protest-law-firm/,,,,
Oakland,Willow Park,,CA,US,2020-08-04,,,,,,,general protestors,antiracism; against police brutality,1,protest,,,,,1,1,https://www.indybay.org/newsitems/2020/07/24/18835310.php,,,,
Lebanon,Academy Square,Lebanon,OR,US,2020-08-05,several hundred,300,,300,,,general protesters,against police violence; against police shooting of black person,1,protest; march,0,0,0,0,1,1,https://lebanon-express.com/news/local/hundreds-gather-in-lebanon-for-black-lives-matter-demonstration/article_31eb753d-a61d-56ab-8d7c-b3cf561b792e.html,,,,
New York,Brooklyn Borough Hall,,NY,US,2020-08-05,count pic,20,,25,,,general protesters,for eviction moratorium during COVID-19 pandemic,0,protest,,,,,1,1,https://www.brooklynpaper.com/downtown-eviction-protest-law-firm/,,,,
San Jose,Good Samaritan Hospital to Regional Medical Center,,CA,US,2020-08-05,,,,,,,local nurses,protest lack of PPP,1,protest,,,,,1,1,https://www.instagram.com/p/CDguQKOBz7t/,,,,
Santa Cruz,Cowells Beach Parking Lot,,CA,US,2020-08-05,,,,,,,general protestors,antiracism; seek racial unity,1,march,,,,,1,1,https://www.instagram.com/p/CDboxKYhqnA/,,,,
Denver,Webb Municipal Building,,CO,US,2020-08-06,around 25,25,,25,,,general protesters,for eviction moratorium,0,protest,,,,,1,1,https://www.denverpost.com/2020/08/06/denver-activists-webb-municipal-building-eviction-protest/,https://twitter.com/sam_tabachnik/status/1291429107465691138,,,
Ithaca,Ithaca City Court,,NY,US,2020-08-06,around 50,50,,50,,,Ithaca Tenants Union,"for eviction moratorium during COVID-19 pandemic, against racism",0,blockade,,,,,1,1,https://ithacavoice.com/2020/08/ithaca-tenants-union-sets-up-eviction-blockade-outside-city-court/,,,,
New York,"200 Schermerhorn St, Brooklyn",,NY,US,2020-08-06,dozens,24,,24,,,general protesters,for eviction moratorium during COVID-19 pandemic,0,protest,,,,,1,1,https://www.brooklynpaper.com/downtown-eviction-protest-law-firm/,,,,
Saint Paul,Ethiopian Consulate,,MN,US,2020-08-06,count pic,30,,30,,,Qeerroo Minnesota,"for human rights for the Oromo people in Ethiopia, for resignation of Ethiopian Prime MinisterAbiy",0,occupation,,,,,1,1,https://unicornriot.ninja/2020/youth-lead-summer-of-oromo-protests-in-minnesota/,,,Article dated Sept 9 notes that occupation has continued since its start on this date.,
Vallejo,City Hall,,CA,US,2020-08-06,,,,,,,general protestors,seek justice for Sean Monterrosa,1,rally,,,,,1,1,https://www.instagram.com/p/CDfgv7-hKpf/,,,,
Cottonwood Heights,Cottonwood Heights Police Department,,UT,US,2020-08-07,several hundred people,300,,300,,,Black Lives Matter-Utah,"against racism, against police violence, for criminal justice reform",1,rally,,2,,,1,1,https://www.deseret.com/utah/2020/8/7/21359338/hundreds-rally-black-lives-matter-cottonwood-heights-counterprotesters,https://www.deseret.com/utah/2020/10/2/21499032/counterprotester-charged-with-assault-at-black-lives-matter-rally,,Two participants injured when counter-protester pepper-sprayed them.,
Cottonwood Heights,Cottonwood Heights Police Department,,UT,US,2020-08-07,more than 150 counterprotesters,150,,150,,,Utah Citizens Alarm,against Black Lives Matter,2,counter-protest,1,,,,1,1,https://www.deseret.com/utah/2020/8/7/21359338/hundreds-rally-black-lives-matter-cottonwood-heights-counterprotesters,https://www.deseret.com/utah/2020/10/2/21499032/counterprotester-charged-with-assault-at-black-lives-matter-rally,,Assault charge for counter-protester who pepper-sprayed participants in BLM rally.,
New York,Manhattan; 72nd Street and 5th Avenue,,NY,US,2020-08-07,,,,,,,NY4Palestine,pro-Palestine,1,protest,,,,,1,1,https://www.struggle-la-lucha.org/2020/07/26/august-7-nyc-day-of-resistance-in-defense-of-palestine/,,,,
Oakland,1225 Fallon St,,CA,US,2020-08-07,,,,,,,general protest,antiracism; seek justice Steven Taylor,1,protest,,,,,1,1,https://www.instagram.com/p/CDVlMhRBIie/,,,,
Saint Paul,Oromo Community Center to governor's residence,,MN,US,2020-08-07,,,,,,,Oromo women,"against repressive policies of Ethiopia, freedom for political prisoners in Ethiopia, against U.S. aid to the Ethiopian government",0,march,,,,,1,1,https://unicornriot.ninja/2020/youth-lead-summer-of-oromo-protests-in-minnesota/,https://www.youtube.com/watch?v=YZGf8bGUpyk&feature=youtu.be,,,
San Rafael,Coldstone Plaza,,CA,US,2020-08-07,,,,,,,general protestors,abolish ICE,1,protest,,,,,1,1,https://www.instagram.com/p/CDaWm8yhtMm/,,,,
Cortez,St. Barnabas Episcopal Church to Main St,,CO,US,2020-08-08,,,,,,,general protesters,"against racism, against police violence, for native people's rights, for LGBTQ rights",1,march,,,,,1,1,https://the-journal.com/articles/184234,,,March for Justice and Peace,
Cortez,to Mancos and Dolores,,CO,US,2020-08-08,,,,,,,Montezuma County Patriots,"for President Trump, for freedom, for police",2,caravan,,,,,0,1,https://the-journal.com/articles/184234,,,,
Fremont,Harvey Park,,CA,US,2020-08-08,,,,,,,Sikh community,anti violence; protest attack of Sikh man,0,protest,,,,,1,1,https://www.instagram.com/p/CDmk78mhis0/,,,,
Morgan Hill,220 Vineyard Ct,,CA,US,2020-08-08,,,,,,,general protestors,abolish ICE,1,protest,,,,,1,1,https://www.instagram.com/p/CDmZkxjh0g8/,,,,
Salem,Oregon State Capitol,,OR,US,2020-08-08,about 200,200,,200,,,American Patriot Society  ,"against state-mandated closures of businesses and schools due to COVID-19 pandemic, for President Trump, against Governor Kate Brown",2,rally,,,,,1,1,https://www.statesmanjournal.com/story/news/politics/2020/08/08/oregon-rally-capitol-steps-saturday-salem-covid-coronavirus-masks/3324294001/,,,Open Up Oregon Rally,
San Francisco,Justin Herman Plaza at Embarcadero,,CA,US,2020-08-08,,,,,,,general protestors,abolish ICE,1,protest,,,,,1,1,https://www.instagram.com/p/CDmZkxjh0g8/,,,,
San Francisco,Whole Foods 2001 Market St.,,CA,US,2020-08-08,,,,,,,general protestors,protest Whole Food's ban on BLM attire,1,protest,,,,,0,1,https://www.instagram.com/p/CDoU4c_hzFv/,,,,
Williamsburg,Merchants Square,,VA,US,2020-08-08,,,,,,,general protesters,"against racism, against police brutality",1,protest,,,,,1,1,https://www.wtkr.com/sports/tribe-sprinter-felecia-hayes-hosts-protests-every-week-for-4-months-straight,,,,
Albuquerque,Albuquerque Public Schools headquarters,,NM,US,2020-08-09,nearly 150,150,,150,,,Fight For Our Lives,"against police in schools, for defunding police, against racism",1,protest,,,,,1,1,https://www.dailylobo.com/article/2020/08/community-members-protest-police-presence-in-albuquerque-public-schools,https://alibi.com/news/61030/Youth-Organizers-Protest-Cops-in-Classrooms.html,,,
Chicago,Englewood,,IL,US,2020-08-09,dozens,24,,24,,,general protesters,against police violence,1,protest,,,,,1,1,https://www.chicagoreader.com/chicago/englewood-is-not-a-war-zone/Content?oid=82017525,,,,
Colliersville,Town Square Park,,TN,US,2020-08-09,about 30,30,,30,,,general protesters,"against racism, for removal of Confederate monument",1,rally,,,,,1,1,https://www.commercialappeal.com/story/news/2020/08/09/collierville-town-square-park-confederate-marker/3331457001/,,,,
Ithaca,Ithaca Commons,,NY,US,2020-08-09,,,,,,,general protesters,"against racism, against police violence, for defunding police",1,rally; march,,1,,,1,1,https://ithacavoice.com/2020/09/sunday-protests-return-avoid-ipd-hq-after-last-weeks-incident/,,,,
New York,"outside apartment of Jeff Bezos, 212 5th Ave",,NY,US,2020-08-09,count pic,30,,40,,,Congress of Essential Workers,"for higher pay and sick leave and health insurance and hazard pay during coronavirus pandemic and transparency about workplace COVID-19 cases at Amazon, for wealth tax",0,protest,,,,,1,1,https://www.businessinsider.com/amazon-protest-jeff-bezos-apartment-worker-pay-safety-christian-smalls-2020-8,https://twitter.com/laurenceb/status/1292500285211004928,,,
Nevada City,Broad St,,CA,US,2020-08-09,,,,,,,general protesters,"against racism, against police violence",1,protest,0,1,0,0,1,1,https://sacramento.cbslocal.com/2020/08/11/violence-nevada-city-blm-protest-police-investigating/,,,,
Nevada City,Broad St,,CA,US,2020-08-09,,,,,,,general protesters,"against Black Lives Matter, for President Trump",2,counter-protest,0,0,0,0,0,1,https://sacramento.cbslocal.com/2020/08/11/violence-nevada-city-blm-protest-police-investigating/,,,,
Oceanside,Oceanside Civic Center,,CA,US,2020-08-09,about 100,100,,100,,,general protesters,"against police violence, against racism",1,march,,,,,1,1,https://www.pacificsandiego.com/latest/story/2020-08-10/black-lives-still-matter-oceanside-marchers-say-in-peaceful-march,,,,
Prineville,Crook County Courthouse,Crook,OR,US,2020-08-09,,,,,,,general protesters,"against child sex trafficking, #savethechildren",0,rally,,,,,1,1,https://ktvz.com/news/2020/08/07/abuse-victim-advocates-for-others-prineville-save-the-children-rally-set-for-sunday/,,,,
San Francisco,Balboa Bart Station to Police Department headquarters,,CA,US,2020-08-09,,,,,,,general protestors,antiracism; defund the police,1,protest,,,,,1,1,https://www.facebook.com/every28foundation/photos/a.1362952957228231/1456183807905145/,,,,
San Mateo,"2850 El Camino Real to 3550 Stevens Creek Blvd, San Jose, to 39194 Paseo Padre Pkwy, Fremont, to 125 El Camino Real, Mountain View",,CA,US,2020-08-09,,,,,,,general protestors,seek justice for Vanessa Guillen,1,caravan,,,,,1,1,https://www.instagram.com/p/CDdA8cih7g1/,,,,
Santa Rosa,Roseland Village,,CA,US,2020-08-09,,,,,,,general protestors,"seek justice for Vanessa Guillen, Enrique Roman Martinez",1,protest,,,,,1,1,https://www.instagram.com/p/CDIB5johCrW/?igshid=4zktpsatub5,,,,
Vacaville,Andrew's Park to Vacaville Police Department,,CA,US,2020-08-09,,,,,,,general protestors,antiracism; oppose deployment of troops to Portland,1,protest,,,,,1,1,https://www.instagram.com/p/CDdHpe1hsH9/,,,,
Walnut Creek,Civic Park,,CA,US,2020-08-09,,,,,,,general protestors,antiracism; Black Lives Matter,1,skate protest,,,,,1,1,https://www.instagram.com/p/CDRvbAFnOlS/?igshid=40th1wa3vmyf,,,,
El Cerrito,El Cerrito Plaza Bart,,CA,US,2020-08-11,,,,,,,general protestors,antiracism; Black Lives Matter,1,car caravan,,,,,1,1,https://www.instagram.com/p/CDwF34YhNyo/,,,,
Houston,5300 Memorial Dr,,TX,US,2020-08-11,,,,,,,UNITE HERE,"for HEROES act, for extending federal unemployment insurance during COVID-19 pandemic",1,rally,,,,,1,1,https://www.houstonpress.com/news/advocates-demand-return-of-600-weekly-payments-for-unemployed-11488342,,,,
Palo Alto,Foothills Park Gate,,CA,US,2020-08-12,,,,,,,local protestors,protest park's policy of not admitting nonresidents,0,protest,,,,,1,1,https://www.instagram.com/p/CDl3tP8gvA3/,,,,
Redwood City,Maguire Jail,,CA,US,2020-08-12,,,,,,,SMC Participatory Defense; RWC Jail Support,free inmates due to Covid 19,1,protest,,,,,1,1,https://www.instagram.com/p/CDoaRZnh467/,,,,
Saint Paul,I-94 West,,MN,US,2020-08-12,,,,,,,Oromo Rights Activists,against repression of Oromo people in Ethiopia,0,car protest,,,,,1,1,https://unicornriot.ninja/2020/youth-lead-summer-of-oromo-protests-in-minnesota/,https://vimeo.com/447572600,,,
Albany,"along San Pablo Ave, from Albany to El Cerrito",,CA,US,2020-08-13,,,,,,,Albany Action; El Cerrito Progressives Collective Action,antiracism; against police brutality,1,protest,,,,,1,1,https://www.instagram.com/p/CDgtsMchsak/,,,,
Dallas,5151 Samuell Blvd,,TX,US,2020-08-13,count video,25,,50,,,Alliance/AFT,against plan to reopen schools during COVID-19 pandemic,1,car caravan,,,,,1,1,https://www.dallasobserver.com/news/teachers-union-demands-in-person-dallas-isd-classes-be-delayed-until-2021-11934944,https://www.facebook.com/AllianceAFT/videos/1941565189307967,,,
East Palo Alto,Clarke Ave and Bay Rd,,CA,US,2020-08-14,,,,,,,Tha Hood Squad,abolish ICE; antiracism; justice for Breonna Taylor,1,protest,,,,,1,1,https://www.instagram.com/p/CDwZcHDJObG/,,,,
Novato,DeLong Avenue Overpass,,CA,US,2020-08-14,,,,,,,Antonomous Anti-Fascists,anti fascism; anti Trump,1,protest,,,,,1,1,https://www.indybay.org/newsitems/2020/08/08/18835729.php,https://www.instagram.com/p/CDyulUfBpH4/,,,
Providence,Garrahy Judicial Complex,,RI,US,2020-08-14,count video,15,,15,,,general protesters,"for eviction moratorium, against collection of rent during COVID-19 pandemic",1,protest,,,,,1,1,https://upriseri.com/2020-08-14-evictions-garrahy/,,,,
San Francisco,"Willie Mays Statue, Oracle Park",,CA,US,2020-08-14,hundreds,200,,200,,,Local 2,protest termination of Giants and Warriors stadium workers,0,"protest, caravan",,,,,1,1,https://www.indybay.org/newsitems/2020/08/09/18835790.php,https://www.facebook.com/events/604507160247195,,,
Bismarck,Bismarck Event Center,,ND,US,2020-08-15,roughly 30,30,,30,,,general protesters,"against child sex trafficking, #savethechildren",0,rally,,,,,1,1,https://www.kxnet.com/news/save-our-children-group-demonstrates-downtown/,,,"Some also shouted ""Pizzagate is real!""",
Chicago,Eggers Grove,,IL,US,2020-08-15,around 30,30,,30,,,Bridges//Puentes: Justice Collective of the Southeast,"against violence against women, against racism",1,bicycle ride; teach-in,,,,,1,1,https://www.chicagoreader.com/chicago/southeast-side-rides-for-justice-photo-essay/Content?oid=82036358,,,,
Clarksburg,Harrison County Courthouse,Harrison,WV,US,2020-08-15,,,,,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://www.wvnews.com/news/wvnews/save-our-children-march-held-in-clarksburg-west-virginia-another-planned-sunday/article_28d8d14d-ee7e-55b0-9b8b-eb6ab902bbb7.html,,,,
College Station,"Academic Plaza, Texas A&M University",,TX,US,2020-08-15,several dozen,36,,36,,,general protesters,"for removal of Confederate statue from college campus, against racism",1,protest,,,,,1,1,https://theeagle.com/news/protesters-demonstrate-at-texas-a-ms-sul-ross-statue/article_a62e9e70-df73-11ea-8a3c-c3a7a189ece9.html,,,,
College Station,"Academic Plaza, Texas A&M University",,TX,US,2020-08-15,several dozen,36,,36,,,general protesters,against removal of Confederate statue from college campus,2,counter-protest,,,,,0,1,https://theeagle.com/news/protesters-demonstrate-at-texas-a-ms-sul-ross-statue/article_a62e9e70-df73-11ea-8a3c-c3a7a189ece9.html,,,,
Cortez,,,CO,US,2020-08-15,,,,,,,Montezuma County Patriots,"for Republican candidate for U.S. House of Representatives, for President Trump, for police, against socialism",2,rally,,,,,1,1,https://durangoherald.com/articles/335506,,,,
Kalamazoo,Arcrobinadia Creek Festival Place,,MI,US,2020-08-15,count pic,50,,100,,,Proud Boys,"for white nationalism, against antifa",2,protest,a few,unknown,,,1,1,https://www.detroitnews.com/story/news/local/michigan/2020/08/15/proud-boys-antifa-clash-downtown-kalamazoo/5591756002/,https://www.mlive.com/news/kalamazoo/2020/09/kalamazoo-police-release-videos-from-proud-boys-protest-to-the-public.html,https://wkzo.com/2020/08/15/proud-boys-rally-and-counter-protests-turn-violent-in-kalamazoo/1049555/,"Both protesters and counter-protesters carried sticks and bats and other weapons. Groups brawled occasionally, used pepper spray. Police intervened at those points.",
Kalamazoo,Arcrobinadia Creek Festival Place,,MI,US,2020-08-15,,,,,,,antifa,"against racism, against Proud Boys",1,counter-protest,a few,unknown,,,0,1,https://www.detroitnews.com/story/news/local/michigan/2020/08/15/proud-boys-antifa-clash-downtown-kalamazoo/5591756002/,https://www.mlive.com/news/kalamazoo/2020/09/kalamazoo-police-release-videos-from-proud-boys-protest-to-the-public.html,https://wkzo.com/2020/08/15/proud-boys-rally-and-counter-protests-turn-violent-in-kalamazoo/1049555/,"Both protesters and counter-protesters carried sticks and bats and other weapons. Groups brawled occasionally, used pepper spray. Police intervened at those points.",
Manchester,Brookfield St to Manchester Police Department and back,,CT,US,2020-08-15,more than 100 people,100,,100,,,general protesters,for police,2,rally,,,,,1,1,https://www.journalinquirer.com/towns/manchester/groups-rally-to-support-police-black-lives-matter-in-manchester/article_64ff5a14-df20-11ea-9ad3-b3a89db07f70.html,,,,
Manchester,Brookfield St to Manchester Police Department and back,,CT,US,2020-08-15,,,,,,,general protesters,"against racism, against police violence, for Black Lives Matter",1,counter-protest,,,,,1,1,https://www.journalinquirer.com/towns/manchester/groups-rally-to-support-police-black-lives-matter-in-manchester/article_64ff5a14-df20-11ea-9ad3-b3a89db07f70.html,,,,
Midland,Grove Park,,MI,US,2020-08-15,,,,,,,general protesters,"against child sex trafficking, #savethechildren",0,rally,,,,,1,1,https://www.ourmidland.com/news/article/Midland-Protesters-raise-awareness-of-child-15486830.php,,,,
Peoria,Peoria Gateway Building,,IL,US,2020-08-15,dozens,24,,24,,,general protesters,"against child sex trafficking, #savethechildren",0,rally,,,,,1,1,https://www.centralillinoisproud.com/news/local-news/dozens-of-peoria-community-members-march-to-save-our-children/,,,,
Pittsburgh,,,PA,US,2020-08-15,about 150,150,,150,,,"Black, Young, and Educated","against racism, against police violence, for police reform",1,march,1,,,,1,1,https://www.pghcitypaper.com/pittsburgh/pittsburgh-police-peduto-respond-to-protest-marshal-arrested-by-rifle-carrying-officers-in-unmarked-van-during-saturday-protest/Content?oid=17828996,https://www.pghcitypaper.com/pittsburgh/photos-civil-saturday-protest-disrupted-when-marshal-is-arrested-by-heavily-armed-pittsburgh-police-in-unmarked-van/Content?oid=17823887,,bike marshall arrested by heavily armed police in unmarked van for obstructing traffic,
Salem,Oregon State Capitol,,OR,US,2020-08-15,a few hundred,300,,300,,,American Patriot Society; Ones Purpose,against state mask mandate and business closures due to COVID-19 pandemic,2,protest,,,,,1,1,https://www.statesmanjournal.com/story/news/2020/08/15/black-lives-matter-protest-oregon-state-capitol-saturday-covid-19/5589867002/,https://www.kptv.com/news/open-up-oregon-rally-held-in-response-to-governor-browns-mask-mandate-restrictions/article_4dd8c0ac-df73-11ea-b073-575315e6231c.html,,Open Up Oregon Rally 2.0,
Salem,Oregon State Capitol,,OR,US,2020-08-15,a few hundred,300,,300,,,Black Lives Matter,"against racism, against police violence",1,counter-protest,,,,,0,1,https://www.statesmanjournal.com/story/news/2020/08/15/black-lives-matter-protest-oregon-state-capitol-saturday-covid-19/5589867002/,,,,
Washington,US Postmaster General’s house in Northwest DC,,DC,US,2020-08-15,,,,,,,general protestors,support USPS; call for postmaster general's resignation,1,protest,,,,,1,1,https://twitter.com/KolbieReports/status/1294615470004469760,,,,
West Palm Beach,Flagler Park,,FL,US,2020-08-15,dozens,24,,24,,,general protesters,"against child sex trafficking, #savethechildren",0,rally,,,,,1,1,https://www.wpbf.com/article/save-our-children-rally-held-in-west-palm-beach/33613962#,,,,
Williamsburg,Merchants Square,,VA,US,2020-08-15,,,,,,,general protesters,"against racism, against police brutality",1,protest,,,,,1,1,https://www.wtkr.com/sports/tribe-sprinter-felecia-hayes-hosts-protests-every-week-for-4-months-straight,,,,
Clarksburg,,,WV,US,2020-08-16,count video,20,,30,,,general protesters,"against child sex trafficking, #savethechildren",0,rally,,,,,1,1,https://www.wboy.com/news/harrison/save-the-children-rally-raises-awareness-about-human-trafficking/,,,,
Harrisburg,Pennsylvania State Capitol,,PA,US,2020-08-16,about 35,35,,35,,,general protesters,"against child sex trafficking, #savethechildren",0,rally,,,,,1,1,https://www.pennlive.com/news/2020/08/save-our-children-protest-in-harrisburg-calls-for-action-against-child-predators.html,,,,
Ithaca,Ithaca Commons,,NY,US,2020-08-16,,,,,,,general protesters,"against racism, against police violence, for defunding police",1,rally; march,,1,,,1,1,https://ithacavoice.com/2020/09/sunday-protests-return-avoid-ipd-hq-after-last-weeks-incident/,,,,
Mansfield,Park Ave West,,OH,US,2020-08-16,over a dozen,12,,12,,,general protesters,"against child sex trafficking, #savethechildren",0,rally,,,,,1,1,https://www.mansfieldnewsjournal.com/story/news/2020/08/16/save-our-children-protest-aims-raise-awareness-trafficking/5596076002/,,,,
San Francisco,Koret Parking Lot,,CA,US,2020-08-16,,,,,,,University of San Francisco students,demand justice,0,boycott,,,,,1,1,https://www.instagram.com/p/CDujMI4h4Y0/,,,,
Detroit,1 Washington Blvd,,MI,US,2020-08-17,count: FB,20,,20,,,general protesters,"against child sex trafficking, #savethechildren",0,protest,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,https://www.facebook.com/events/s/human-trafficking-protest-detr/709655119882935/,,,
Portland,Tom McCall Waterfront Park,,OR,US,2020-08-17,"more than 1,200 demonstrators altogether",400,,,,,Proud Boys,against antifa,2,rally,unknown,unknown,,,1,1,https://www.oregonlive.com/portland/2019/08/portland-protests-antifa-right-wing-groups-set-to-face-off-downtown-live-updates.html,,,,
