CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,,,,,,,,,,,,,,,,,,
Newton,Town Green,Sussex,NJ,US,2020-06-09,,,,,,,general protesters,pro-business; against business closures due to coronavirus,0,rally,0,0,0,0,1,1,https://www.northjersey.com/story/news/local/morris-county/2020/06/08/murphy-cant-keep-us-locked-down-like-this-open-nj-rally-planned-newton/3170101001/,https://www.njherald.com/news/20200608/murphy-cant-keep-us-locked-down-like-this-open-nj-rally-planned-in-newton,https://www.dailyrecord.com/story/news/local/morris-county/2020/06/08/murphy-cant-keep-us-locked-down-like-this-open-nj-rally-planned-newton/3170101001/,,,,,,,,,,,,,,,,,,,,
Richmond,Byrd Park,Richmond,VA,US,2020-06-09,,,,,,,general protestors,against colonization; oppose Columbus statue,1,protest,0,0,0,1,1,1,https://www.wlbt.com/2020/06/10/christopher-columbus-statue-torn-down-thrown-lake-by-protesters/,,,,,,,,,,,,,,,,,,,,,,
Seattle ,City Hall,Kings,WA,US,2020-06-09,hundreds,200,,200,,,general protestors,call for mayor's resignation; tax Amazon; defund the police,0,protest,0,0,0,0,1,1,https://www.q13fox.com/news/hundreds-of-protesters-enter-seattle-city-hall-along-with-councilmember-sawant,https://www.king5.com/article/news/local/protests/seattle-protesters-enter-city-hall/281-35cf42b7-c634-4fef-a0df-09ade640a735,,,,,,,,,,,,,,,,,,,,,
Bath,Union Hall on Washington Street,Sagadahoc,ME,US,2020-06-10,more than 100,100,,100,,,Local S6 of the Machinists Union ,for higher wages and a better contract,0,rally,0,0,0,0,1,1,https://www.centralmaine.com/2020/06/10/updated-bath-shipyard-workers-rally-amid-rocky-contract-negotiations/,,,,,,,,,,,,,,,,,,,,,,
Camden,Farnham Park,Camden,NJ,US,2020-06-10,,,,,,,general protesters,anti-Columbus statue/colonization of indigenous people,1,protest,0,0,0,1,1,1,https://nj1015.com/camden-protesters-smash-columbus-statue-as-city-takes-it-away/,,,,,,,,,,,,,,,,,,,,,,
El Paso,,El Paso,TX,US,2020-06-10,,,,,,,general protestors,support police officers,2,protest,,,,,1,1,https://www.elpasotimes.com/story/news/2020/06/12/el-paso-protest-city-encourages-protesters-test-coronavirus/5321129002/,,,,,,,,,,,,,,,,,,,,,,
Fort Morgan,Cargill Meat Solutions,,CO,US,2020-06-10,around 15,15,,15,,,Teamsters Local Union 455,collective bargaining; for greater coronavirus protections for workers,0,protest,0,0,0,0,1,1,https://www.fortmorgantimes.com/2020/06/10/food-supply-chain-workers-protest-at-cargill/,,,,,,,,,,,,,,,,,,,,,,
Franklinville,Franklinville,Gloucester,NJ,US,2020-06-10,na,2,,2,,,Corrections Officer; Fed Ex employee,oppose BLM protest; men imitate George Floyd's killing,0,protest,0,0,0,0,1,1,https://6abc.com/society/men-imitate-george-floyds-killing-during-black-lives-matter-protest/6239634/,,,,,,,,,,,,,,,,,,,,,,
Oklahoma City,Federal Courthouse,Oklahoma,OK,US,2020-06-10,,,,,,,family and friends of Chris Ledbetter,protest arrest for illegal weapon ownership,2,protest,0,0,0,0,1,1,https://kfor.com/news/local/family-friends-protest-oklahoma-mans-federal-weapons-charge/,,,,,,,,,,,,,,,,,,,,,,
Orlando,,Orange,FL,US,2020-06-10,,,,,,,Fix It Florida,demand fix to state's unemployment system,0,protest,0,0,0,0,1,1,https://www.mysuncoast.com/2020/06/10/many-floridians-waiting-unemployment-benefits-small-rallies-pushing-action-state/,,,,,,,,,,,,,,,,,,,,,,
Orlando,Orlando International Airport,Orange,FL,US,2020-06-10,as many as 100,100,,100,,,restaurant workers,seek fair standards and health protections,0,protest,0,0,0,0,0,1,https://www.orlandosentinel.com/news/transportation/os-ne-orlando-airport-workers-protest-20200610-av7lgl7v5nfcxg4tn6ciewiogq-story.html,,,,,,,,,,,,,,,,,,,,,,
Philadelphia,Benjamin Franklin Parkway,Philadelphia,PA,US,2020-06-10,more than 50,50,,50,,,homeless community and volunteers,seek low-income housing,0,protest,0,0,0,0,1,1,https://www.inquirer.com/news/philadelphia/philadelphia-protest-encampment-ben-franklin-parkway-tents-20200612.html,,,,,,,,,,,,,,,,,,,,,,
Philadelphia,at Von Colln Memorial Field,Philadelphia,PA,US,2020-06-10,,,,,,,The Workers Revolutionary Collective; Occupy PHA,for housing for homeless population,0,protest,0,0,0,0,1,1,https://www.phillyvoice.com/philly-encampment-protest-homeless-benjamin-franklin-parkway-housing-pha/,,,,,,,,,,,,,,,,,,,,,,
Stockton,,San Joaquin ,CA,US,2020-06-10,,,,,,,Food Processing Division of Teamsters Local 856,for hazard pay,0,rally,0,0,0,0,1,1,https://www.recordnet.com/news/20200610/diamond-walnut-workers-rally-for-hazard-pay-at-stockton-plant,,,,,,,,,,,,,,,,,,,,,,
Tallahasee,Florida Historic Capital,Leon,FL,US,2020-06-10,na,6,,6,,,Fix It Florida,demand fix to state's unemployment system,0,protest,0,0,0,0,1,1,https://www.tallahassee.com/picturegallery/news,https://www.tallahassee.com/picturegallery/news,https://www.mysuncoast.com/2020/06/10/many-floridians-waiting-unemployment-benefits-small-rallies-pushing-action-state/,,,,,,,,,,,,,,,,,,,,
Tampa,,Hillsborough,FL,US,2020-06-10,,,,,,,Fix It Florida,demand fix to state's unemployment system,0,protest,0,0,0,0,1,1,https://www.mysuncoast.com/2020/06/10/many-floridians-waiting-unemployment-benefits-small-rallies-pushing-action-state/,,,,,,,,,,,,,,,,,,,,,,
Virginia Beach,Kroger store in Little Neck section,Virginia Beach,VA,US,2020-06-10,a dozen,12,,12,,,United Food and Commercial Workers Local 400,"protest suspension of pandemic ""hero pay""",0,caravan,0,0,0,0,1,1,https://www.pilotonline.com/business/vp-ib-kroger-protest-0615-20200610-u6u4nj4shfav7h3ff2gkbxwedy-story.html,,,,,,,,,,,,,,,,,,,,,,
Washington,Lafayette Square,DC,DC,US,2020-06-10,,,,,,,general protestors,preserve protest artwork hanging on fence,1,artwork,0,0,0,0,1,1,https://lufkindailynews.com/ap_video/video_18e85b1f-4fd9-58cb-898c-c52878f22bfc.html,,,,,,,,,,,,,,,,,,,,,,
New York,Queens; Assembley member DenDekker’s district office at 75-35 31st Ave. in East Elmhurst,Queens,NY,US,2020-06-11,more than 50,50,,50,,,Make the Road Action,support recovery for all; support rent cancellation; pro-workers,0,protest,0,0,0,0,0,1,https://qns.com/story/2020/06/15/make-the-road-action-dendekker-challenger-call-on-assemblyman-to-support-recovery-for-all-movement/,,,,,,,,,,,,,,,,,,,,,,
New York,Brooklyn,Kings,NY,US,2020-06-11,hundreds,200,,200,,,local Jewish Youth,protest closure of summer camps,0,march,0,0,0,0,1,1,https://forward.com/news/448674/ultra-orthodox-children-protest-sleepaway-camp-and-park-closures-brooklyn/,,,,,,,,,,,,,,,,,,,,,,
Oakland,Highland Hospital,,CA,US,2020-06-11,,,,,,,family and friends of Brianna Colombo,protest police shooting; lack of information on victim's condition,0,protest,0,0,0,0,1,1,http://oaklandprotest.today/6-11-20.html,,,,,,,,,,,,,,,,,,,,,,
Pensacola,City Hall,Escambia,FL,US,2020-06-11,,,,,,,general protesters,for the removal of Confederate monument in Pensacola,0,protest,0,0,0,0,1,1,https://www.pnj.com/picture-gallery/news/2020/06/11/pensacola-protesters-city-hall-push-confederate-monument-removal/5346891002/,,,,,,,,,,,,,,,,,,,,,,
Pratt,police dept,Pratt,KN,US,2020-06-11,,25,,25,,,church members pray,supporting police,0,prayer service,0,0,0,0,0,0,https://www.cjonline.com/news/20200614/support-for-law-enforcement-shown-at-pratt-rally,,,,,,,,,,,,,,,,,,,,,,
Pratt,,Pratt,KS,US,2020-06-11,,,,,,,The Bread of Life,in support of law enforcement,0,rally,0,0,0,0,1,1,https://www.morningsun.net/news/20200614/support-for-law-enforcement-shown-at-pratt-rally,,,,,,,,,,,,,,,,,,,,,,
Pratt,,Pratt,KS,US,2020-06-11,more than 25,25,,25,,,the Bread of Life organization,in support of law enforcement,0,rally,0,0,0,0,1,1,https://www.hdnews.net/news/20200614/support-for-law-enforcement-shown-at-pratt-rally,https://www.ottawaherald.com/news/20200614/support-for-law-enforcement-shown-at-pratt-rally,,,,,,,,,,,,,,,,,,,,,
Adelanto,inside Adelanto Detention Center,San Bernardino,CA,US,2020-06-12,more than 150,150,,150,,,detainees,protest remaining in cells for at least 23 1/2 hours a day,0,protest,0,4,0,0,1,1,https://laist.com/2020/06/22/adelanto-detention-facility-immigrant-detainee-protest.php,,,pepper spray,0,,,,,,,,,,,,,,,,,,
Adelanto,outside Adelanto Detention Center,San Bernardino,CA,US,2020-06-12,50,50,,50,,,general protestors,protest prison conditions,0,protest,0,0,0,0,0,1,https://laist.com/2020/06/22/adelanto-detention-facility-immigrant-detainee-protest.php,,,,0,,,,,,,,,,,,,,,,,,
Ashland,The Corner Park,Ashland,WI,US,2020-06-12,approximately 30,30,,30,,,The Coalition,support Donald Trump,2,rally,0,0,0,0,1,1,https://www.times-gazette.com/story/news/local/2020/06/12/trump-rally-sparks-tension-with-black-lives-matter-protesters/42113335/,,,,,,,,,,,,,,,,,,,,,,
Cedar City,Cedar City Hall,Iron,UT,US,2020-06-12,more than 100,100,,100,,,supporters,supporting police,0,rally,0,0,0,0,1,1,https://www.ksl.com/article/46764233/back-the-blue-protest-held-in-cedar-city,,,,,,,,,,,,,,,,,,,,,,
Floyd,Floyd County Courthouse,Floyd,VA,US,2020-06-12,about two dozen,24,,24,,,supporters of confederate monuments,against removal of Confederate monuments,1,demonstration,0,0,0,0,1,1,https://www.wsls.com/news/local/2020/06/12/people-rally-in-floyd-county-to-save-confederate-monuments/,,,,0,,,,,,,,,,,,,,,,,,
Fort Hood,,Bell,TX,US,2020-06-12,,,,,,,family of Vanessa Guillen,urge progress in search for missing Private,0,protest,0,0,0,0,1,1,https://www.fox44news.com/news/local-news/we-need-answers-another-peaceful-protest-formed-as-search-for-missing-soldier-continues/,,,,,,,,,,,,,,,,,,,,,,
Hagåtña,Chief Quipuha loop,Guam ,Guam,US,2020-06-12,nearly 300,300,,300,,,general protesters,against the release of officials accused of sexual assault,1,protest,0,0,0,0,1,1,https://www.guampdn.com/picture-gallery/news/local/2020/06/12/peaceful-protest-against-port-officer-held-hagatna/5347805002/,,,,0,,,,,,,,,,,,,,,,,,
McMinnville,,Yamhill,OR,US,2020-06-12,,,,,,,county employees,seek Covid-19 protections,0,protest,,,,,1,1,https://newsregister.com/article?articleTitle=county-employees-rally-for-covid-19-protections--1591978040--37379--news,,,,,,,,,,,,,,,,,,,,,,
Minneapolis ,outside Senator Klobuchar's office on Washington Avenue to the Hennepin County Jail ,Hennepin,MN,US,2020-06-12,almost 1000,1000,,1000,,,the Minnesota Immigrant Rights Action Committee,in support of the DACA program ,1,march,0,0,0,0,1,1,http://www.fightbacknews.org/2020/6/16/hundreds-march-defend-daca-immigrant-youth-support-movement-against-police-terror,,,,,,,,,,,,,,,,,,,,,,
Pinckney,Main Street,Livingston,MI,US ,2020-06-12,1,1,,1,,,general protesters,against BLM; against black people,2,counter-protest,0,0,0,0,0,1,https://www.michiganradio.org/post/blm-protests-coming-small-rural-towns-michigan-too,,,online submission,0,,,,,,,,,,,,,,,,,,
Temecula,intersection of Ynez and Winchester roads,Riverside,CA,US,2020-06-12,about 100,,,,,,Blue Lives Matter,in support of police,0,rally,0,1,0,0,1,1,https://www.pe.com/2020/06/12/demonstrators-in-temecula-rally-for-blue-lives-matter/,,,,0,,,,,,,,,,,,,,,,,,
24 Ohio counties,,,OH,US,2020-06-13,,,,,,,Free Ohio Now,reopen Ohio schools,0,rally,0,0,0,0,1,1,https://www.wdtn.com/news/ohioans-hold-rallies-across-state-asking-dewine-to-open-schools-in-regular-session-this-fall/,,,,0,,,,,,,,,,,,,,,,,,
Atlanta,Centennial Park,Fulton ,GA,US,2020-06-13,,,,,,,family and friends of Kendrick Johnson,seek reopening of the case into his death,1,rally,,,,,1,1,https://www.wtxl.com/news/local-news/mom-hosts-justice-for-kendrick-johnson-rally-saturday,,,,,,,,,,,,,,,,,,,,,,
Dalton,downtown,Whitfield,GA,US,2020-06-13,,,,,,,general protesters,supporting police and statue,0,counter-protest,0,0,0,0,0,1,https://www.dailycitizen.news/news/local_news/downtown-dalton-march-gets-heated-as-groups-trade-words-over-gen-johnston-statue/article_8e4553d9-024e-5552-a6d5-25236a17c467.html,,,,0,,,,,,,,,,,,,,,,,,
Elko,courthouse,Elko,NV,US,2020-06-13,a dozen,12,,12,,,Blue Lives Matter,supporting police,0,protest,0,0,0,0,1,1,https://elkodaily.com/news/local/watch-now-blue-lives-matter-rally-held-in-elko/article_b656151f-0595-550b-8b95-a3bf7312cd59.html,,,,,,,,,,,,,,,,,,,,,,
Highland Falls,outside USMA Thayer gate,Orange,NY,US,2020-06-13,,,,,,,general protesters,pro-Trump,2,protest,0,0,0,0,0,1,https://www.recordonline.com/story/news/2020/06/13/trump-target-of-protest-outside-west-point/111958248/,,,,0,,,,,,,,,,,,,,,,,,
Kaanapali,,Maui,HI,US,2020-06-13,,200,,200,,,hotel workers,safe reopening,0,car parade,0,0,0,0,1,1,https://www.mauinews.com/news/local-news/2020/06/hotel-workers-rally-saturday-on-west-side-for-safe-reopening/,,,,,,,,,,,,,,,,,,,,,,
Kerrville,Kerr County Courthouse square,Kerr,TX,US,2020-06-13,about 20,20,,20,,,Kerr County Patriots,in support of local businesses during COVID-19 crisis; for unity,0,rally,0,0,0,0,1,1,https://dailytimes.com/promotions/article_385dfaf8-af80-11ea-a647-cf1559cf80be.html,,,,,,,,,,,,,,,,,,,,,,
Knoxville,Hardy Park,Knox,TN,US,2020-06-13,dozens,24,,24,,,general protestors,against gun violence,0,protest; march,0,0,0,0,1,1,https://www.wbir.com/article/news/local/protests/protest-held-to-stop-senseless-violence/51-52497804-fac9-4bf6-8202-1cda967d7495,,,,,,,,,,,,,,,,,,,,,,
Lincoln,state capitol,Lancaster,NE,US,2020-06-13,,,,,,,general protestors,pro unity; togetherness; against looting during antiracism protests,0,"march, cookout",,,,,1,1,https://journalstar.com/entertainment/dining/we-are-one-cookout-to-feed-lincoln-protest-marchers-saturday/article_51116709-a87c-5777-abac-666774b90ab9.html,,,,,,,,,,,,,,,,,,,,,,
Naples,Alfie Oakes store,Collier,FL,US,2020-06-13,photo count,100,,100,,,COVID is hoax vs BLM supporters,against FB post re: COVID hoax,0,rally & opposition,0,0,0,0,1,1,https://www.naplesnews.com/picture-gallery/news/local/2020/06/13/protests-held-oakes-farms-seed-table-market-after-incendiary-facebook-post/3182651001/,,,,0,,,,,,,,,,,,,,,,,,
New York,Brooklyn; Moore street and Graham avenue in WIlliamsburg,Kings,NY,US,2020-06-13,a dozen,12,,12,,,general protestors,against gas pipeline; pro-BLM,0,protest,0,0,0,0,0,1,https://www.ny1.com/nyc/all-boroughs/news/2020/06/14/williamburg-residents-protest-construction-of-a-gas-main,,,,,,,,,,,,,,,,,,,,,,
North Port,in front of North Port police headquarters,,FL,US,2020-06-13,more than 200,200,,200,,,police supporters,supporting police,0,rally,0,0,0,0,1,1,https://www.yoursun.com/northport/news/rally-organizer-loses-job-after-online-posts/article_3824424a-b183-11ea-b0e0-ff648d9e47ec.html,https://www.yoursun.com/northport/news/wont-cop-out-group-plans-pro-police-rally-love-overcomes/article_16518d4c-b71b-11ea-ba27-efc91f17baad.html,,Organizer lost job after advertising rally on social media,0,,,,,,,,,,,,,,,,,,
Philadelphia,park,Philadelphia,PA,US,2020-06-13,about 50,50,,50,,,general protestors,support statue of Christopher Columbus ,0,counter-protest,0,0,0,0,1,1,https://www.washingtonpost.com/politics/third-consecutive-weekend-of-anti-racism-protests-expands-to-suburbs-as-blue-lives-matter-demonstrators-push-back/2020/06/13/81ef674a-ada7-11ea-94d2-d7bc43b26bf9_story.html?,,,,,,,,,,,,,,,,,,,,,,
Pine Hall,311 Speedway,Stokes,NC,US,2020-06-13,,,,,,,Reopen NC,end COVID restrictions,0,protest,0,0,0,0,1,1,https://www.greensboro.com/news/local_news/at-a-speedway-protest-over-n-c-s-covid-19-crowd-limits-the-crowd-doesn/article_760a16f5-1172-553d-964f-c41d8a37bf23.html,,,,0,,,,,,,,,,,,,,,,,,
Port Angeles,Clallam County Courthouse,,WA,US,2020-06-13,,,,,,,general protesters,Black Lives Matter ,1,protest,1,0,0,0,1,1,https://www.peninsuladailynews.com/crime/bail-set-for-man-accused-of-throwing-eggs-at-protesters/,,,0,,,,,,,,,,,,,,,,,,,
San Diego,outside One America News Network headquarters on Morena Boulevard,San Diego,CA,US,2020-06-13,,,,,,,general protesters,against network's coverage,0,protest,0,0,0,0,1,1,https://www.kpbs.org/news/2020/jun/28/la-mesa-protest-riots-fires-police-george-floyd/,,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,2095 Franklin Ave,,CA,US,2020-06-13,,,,,,,local youth,for a better future for America's youth,1,demonstration,,,,,1,1,https://www.instagram.com/p/CBWGCjxBiU1/,,,,,,,,,,,,,,,,,,,,,,
Tampa,"Tampa Police Department’s District 1 headquarters,",Hillsborough,FL,US,2020-06-13,,,,,,,general protestors,blue lives matter; against BLM protests,2,protest,0,0,0,0,1,1,https://www.washingtonpost.com/politics/third-consecutive-weekend-of-anti-racism-protests-expands-to-suburbs-as-blue-lives-matter-demonstrators-push-back/2020/06/13/81ef674a-ada7-11ea-94d2-d7bc43b26bf9_story.html?,https://www.wfla.com/news/hillsborough-county/back-the-blue-rallies-planned-in-tampa-and-lakeland-to-support-police/,,,,,,,,,,,,,,,,,,,,,
Walhalla,Confederate statue,Oconee,GA,,2020-06-13,5,5,,5,,,general protestors,in support of confederate statues,0,protest,0,0,0,0,1,1,https://www.thestate.com/news/article243514827.html,,,,0,,,,,,,,,,,,,,,,,,
Walker,DeltaPlex Arena,Kent,MI,US,2020-06-13,,,,,,,Operation Incinerator,against absentee ballots,0,protest,0,0,0,0,1,1,https://www.washingtontimes.com/news/2020/jun/14/operation-incinerator-trump-supporters-torch-absen/,,,,,,,,,,,,,,,,,,,,,,
Washington,Mall,DC,DC,US,2020-06-13,about two dozen,24,,24,,,general protestors,blue lives matter; against BLM protests,2,counter-protest,0,0,0,0,1,1,https://www.washingtonpost.com/politics/third-consecutive-weekend-of-anti-racism-protests-expands-to-suburbs-as-blue-lives-matter-demonstrators-push-back/2020/06/13/81ef674a-ada7-11ea-94d2-d7bc43b26bf9_story.html?,,,,,,,,,,,,,,,,,,,,,,
Allentown,Lehigh County Courthouse,Lehigh,PA,US,2020-06-14,more than two dozen,24,,24,,,Syrian Americans,against Syrian sanctions,0,protest,0,0,0,0,1,1,https://www.mcall.com/news/local/allentown/mc-nws-allentown-syrian-protest-sanctions-20200614-vot6ttxtgfcbtdxn76daj6luui-story.html,,,,,,,,,,,,,,,,,,,,,,
Bethel,Plane St.,Clermont,OH,US,2020-06-14,some 700,700,,700,,,general protesters,opposing BLM ,2,counter-protest,0,0,0,0,1,1,https://www.washingtonpost.com/nation/2020/06/16/bethel-ohio-black-lives-counterprotest/,https://www.oregonlive.com/nation/2020/06/a-tiny-ohio-town-had-a-black-lives-matter-protest-hundreds-of-armed-counterprotesters-showed-up.html,,armed counterprotesters; see GF for protest,0,,,,,,,,,,,,,,,,,,
Bethel,,Clermont,OH,US,2020-06-14,some 700,700,,700,,,general protesters,in support of police,2,counter-protest,0,10,0,0,1,1,https://www.washingtonpost.com/nation/2020/06/16/bethel-ohio-black-lives-counterprotest/,,,,,,,,,,,,,,,,,,,,,,
Charleston,Battery wall,Charleston,SC,US,2020-06-14,about 4 dozen,48,,48,,,Uplift Charleston,5th anniv. of Emmanual 9 murders,1,rally,0,0,0,0,1,1,https://www.live5news.com/2020/06/14/group-holds-peaceful-protest-honor-emanuel-victims/,,,,0,,,,,,,,,,,,,,,,,,
Colorado Springs,Palmer statue,El Paso,CO,US,2020-06-14,count pic,50,,50,,,general protesters,defend local monuments,0,rally,0,0,0,0,1,1,https://www.fox21news.com/top-stories/defend-our-monuments-rally-hosted-in-downtown-colorado-springs/,,,,,,,,,,,,,,,,,,,,,,
Ionia,in front of the Ionia County Sheriff's Office,Ionia,MI,US,2020-06-14,a little more than a dozen,12,,12,,,general protesters,in support of law enforcement,0,rally,0,0,0,0,1,1,https://www.sentinel-standard.com/news/20200615/group-gathers-for-police-lives-matter-demonstration,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,city hall,Los Angeles,CA,US,2020-06-14,several hundred,300,,300,,,general protestors,against US immigration policies,1,protest,0,0,0,0,1,1,https://www.dailynews.com/2020/06/14/thousands-gather-for-hollywood-march-as-protesters-return-to-streets-across-southern-california/,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Los Angeles City Hall,Los Angeles,CA,US,2020-06-14,several hundred,300,,300,,,general protesters,against poor treatment of children in ICE facilities,0,march,0,0,0,0,1,1,https://abc7.com/politics/free-our-kids-in-cages-march-held-in-la/6247744/,,,,,,,,,,,,,,,,,,,,,,
Miami,Bayfront Front,Miami-Dade,FL,US,2020-06-14,more than 100,100,,100,,,Law Abiding Citizens Coalition,support police officers,2,rally,0,0,0,0,1,1,https://wsvn.com/news/local/miami-dade/miami-coalition-to-hold-patriotism-rally-in-bayfront-park/,https://www.miamiherald.com/news/local/community/miami-dade/downtown-miami/article243489411.html,,,,,,,,,,,,,,,,,,,,,
Norman ,Andrews Park,Cleveland,OK,US,2020-06-14,about 250,250,,250,,,general protesters,against reducing police budget,0,rally,0,0,0,0,1,1,https://www.woodwardnews.net/oklahoma/news/standing-up-for-npd-rally-draws-crowd/article_a84592a5-3e42-59a8-98c0-7580a20f4f4a.html,https://www.normantranscript.com/news/courts_crime_police/standing-up-for-npd-rally-draws-crowd/article_1275f1ca-aea3-11ea-81e7-2f9a2e649897.html,,,,,,,,,,,,,,,,,,,,,
North Kingstown,Allie's Donuts,,RI,US,2020-06-14,,,,,,,Never Forget,against removal of veteran discount,0,protest,0,0,0,0,1,1,https://www.ricentral.com/nk_standard_times/news/local_news/veterans-protest-outside-allies-donuts/article_a8052a4c-b17a-11ea-816f-cf869dfcb97d.html,,,,,,,,,,,,,,,,,,,,,,
San Diego,San Diego bay,San Diego,CA,US,2020-06-14,thousands,2000,,2000,,,general protesters,pro-Trump,2,boat parade,0,0,0,0,1,1,https://www.kpbs.org/news/2020/jun/28/la-mesa-protest-riots-fires-police-george-floyd/,,,,,,,,,,,,,,,,,,,,,,
San Francisco,Market St and Powell St.,,CA,US,2020-06-14,,,,,,,general protestors,anti Trump,1,protest,,,,,1,1,https://sf.funcheap.com/give-trump-birthday-remember-protest/,,,,,,,,,,,,,,,,,,,,,,
Washington DC,St. John's,DC,DC,US,2020-06-14,photo estimate,200,,200,,,Interfaith clergy,against Trump's photo op at St. Johns,1,prayer vigil,0,0,0,0,1,1,https://www.wusa9.com/article/news/local/protests/crime-dispersal-peaceful-crowd-interfaith-leaders-call-action/65-e5906915-3097-4115-8fa1-edb8fbf6e626,,,,,,,,,,,,,,,,,,,,,,
West Palm Beach,Highways & waterways,Palm Beach,FL,US,2020-06-14,,,,,,,Trump supporters,pro-Trump,2,flotilla,0,0,0,0,1,1,https://www.wane.com/news/trump-supporters-hold-boat-rally-for-presidents-74th-birthday/,,,,,,,,,,,,,,,,,,,,,,
Albuquerque,Old Town,Bernalillo,NM,US,2020-06-15,two or three hundred,200,,300,,,general protestors,against colonialism; against statue commemorating conquistador,1,protest,1,1,0,1,1,1,https://www.currentargus.com/story/news/2020/06/17/police-tactics-criticized-locals-following-juan-de-onate-protest/3207979001/,https://www.kob.com/albuquerque-news/man-arrested-for-onate-protest-shooting-faces-more-battery-charges/5762612/?cat=500,https://www.koat.com/article/friend-of-protest-shooting-victim-describes-moments-leading-up-to-it/32886594,https://www.abqjournal.com/1466753/apd-protest-shooter-arrested-charged-with-aggravated-battery.html?utm_source=abqjournal.com&utm_medium=sidebar+-+popular+posts+-+home&utm_campaign=popular+posts,,,,,,,,,,,,,,,,,,,
Albuquerque,Old Town,Bernalillo,NM,US,2020-06-15,,,,,,,militia members,preserve statue of conquistador,2,counterprotest,1,0,0,1,0,1,https://www.currentargus.com/story/news/2020/06/17/police-tactics-criticized-locals-following-juan-de-onate-protest/3207979001/,https://www.kob.com/albuquerque-news/man-arrested-for-onate-protest-shooting-faces-more-battery-charges/5762612/?cat=500,https://www.kob.com/albuquerque-news/juan-de-onate-monday-protest-a-timeline/5762131/?cat=500,,,,,,,,,,,,,,,,,,,,
Bethel,Plane St.,Clermont,OH,US,2020-06-15,100-150,100,,150,,,general protesters,opposing BLM,2,counter-protest,2,0,0,0,1,1,https://www.washingtonpost.com/nation/2020/06/16/bethel-ohio-black-lives-counterprotest/,,,armed counterprotesters; see GF for protest,0,,,,,,,,,,,,,,,,,,
Brookline,Larz Anderson Park to Brookline High ,Norfolk,MA,US,2020-06-15,an estimated 500,500,,500,,,general protesters,against public education cuts,0,car protest,0,0,0,0,1,1,https://boston.cbslocal.com/2020/06/15/brookline-teachers-protest-education-cuts-coronavirus/,,,,,,,,,,,,,,,,,,,,,,
Cottonwood Heights,,,UT,US,2020-06-15,more than 100,100,,100,,,Cottonwood Heights Citizens for Law Enforcement and Peace Officers,pro-police; in support of law enforcement,2,rally,0,0,0,0,1,1,https://www.hjnews.com/news/local/pro-police-rally-held-before-utah-protest-calling-for-reform/article_08449177-2c1a-593f-b955-7a48e3a4ff97.html,,,,,,,,,,,,,,,,,,,,,,
Cottonwood Heights,city hall,Salt Lake,UT,US,2020-06-15,hundreds,200,,200,,,general protesters,supporting law enforcement,0,counter-protest,0,0,0,0,1,1,https://www.fox13now.com/news/local-news/hundreds-protest-after-cottonwood-heights-councilwoman-takes-knee-during-pledge-of-allegiance,,,,,,,,,,,,,,,,,,,,,,
Fremont,outside the Telsa plant,Alameda,CA,US,2020-06-15,,,,,,,general protesters,for better protection for works from COVID19,0,rally,0,0,0,0,1,1,https://sanfrancisco.cbslocal.com/2020/06/15/protesters-fremont-tesla-plant-demand-improved-covid-19-safety-workers/,,,,,,,,,,,,,,,,,,,,,,
Memphis,in front of the courthouse,Shelby ,TN,US,2020-06-15,,,,,,,general protesters,against the restarting of eviction proceedings,0,protest,0,0,0,0,1,1,https://www.commercialappeal.com/picture-gallery/news/2020/06/15/people-gather-protest-restarting-eviction-proceedings/3191259001/,,,,,,,,,,,,,,,,,,,,,,
Newton,fire station,Middlesex,MA,US,2020-06-15,roughly 200,200,,200,,,general protesters,against mayor's decision to remove firefighters remembrance flag,0,protest,0,0,0,0,1,1,https://www.boston.com/news/local-news/2020/06/16/newton-firefighters-flag-removal,,,,,,,,,,,,,,,,,,,,,,
Norco,Corona-Norco Unified School District office,,CA,US,2020-06-15,about 80,80,,80,,,"parents, children, and some teachers",urge the school board to start the 2020-2021 school year on campus for all students ,0,protest,0,0,0,0,1,1,https://www.dailybulletin.com/2020/06/23/corona-norco-teachers-protest-early-return-to-campus/,,,,,,,,,,,,,,,,,,,,,,
Pahrump,Highways 160 and 372,Nye,NV,US,2020-06-15,,,,,,,local protestors,support the police,1,protest,0,0,0,0,1,1,https://pvtimes.com/news/law-enforcement-rally-draws-crowd-in-heart-of-pahrump-86006/,,,,,,,,,,,,,,,,,,,,,,
Rome,city hall,Floyd,GA,US,2020-06-15,,,,,,,Back the Blue Rally,remember the fallen,0,planned rally,0,0,0,0,1,1,https://www.northwestgeorgianews.com/rome/lifestyles/local/back-the-blue-rally-planned-for-monday-to-cap-off-weekend-of-public-demonstrations/article_5e708576-ac06-11ea-8199-77117d32684a.html,,,,,,,,,,,,,,,,,,,,,,
